layer_c_rank,st_dbscan_cluster_id,cluster_label,cluster_label_display,records_total,distinct_days,active_days,observation_days,ROP,TVS,VDI,cluster_area_m2,validation_uncertainty,validation_confidence,review_total,review_present,approved_count,resurgence_score,dominant_vehicle_type,dominant_violation_tag,layer_c_index,lat,lon
1,78,"BTP163 - 16th Main Road, BTM Layout","BTP163 - 16th Main Road, BTM Layout (Cluster 78)",92,8,8.0,134,0.059701492536867906,1.2769773206280437,0.007451287587050253,12346.859375,2.173927704518519e-11,0.9999999999782607,92,92,92,5.0,SCOOTER,['NO PARKING'],0.3857845673096436,12.913656329347829,77.60613122934782
2,660,BTP032 - Windsor Circle,BTP032 - Windsor Circle (Cluster 660),22,8,8.0,134,0.059701492536867906,1.2213662582465776,0.0050076555245134316,4393.2734375,9.090905805919647e-11,0.9999999999090909,22,22,22,5.0,CAR,['NO PARKING'],0.3796380907769478,12.996445136363636,77.58449675909091
3,63,BTP104 - Medical College Circle,BTP104 - Medical College Circle (Cluster 63),76,8,8.0,134,0.059701492536867906,1.3583893427521156,0.001807595841786266,42044.796875,2.631583839729501e-11,0.9999999999736842,76,76,76,5.0,SCOOTER,['WRONG PARKING'],0.379207855892814,12.959891055263157,77.57751601578947
4,257,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",87,6,6.0,134,0.04477611940265093,1.3411384707832807,0.003473332287424346,25047.9921875,2.2988499992493416e-11,0.9999999999770115,87,87,87,5.0,SCOOTER,['NO PARKING'],0.3760364460236548,12.928616228735631,77.58070089425287
5,3,BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction (Cluster 3),9287,87,87.0,134,0.6492537313384384,0.5288695978625534,0.007811580321385763,1188875.953125,2.1538326677728037e-13,0.9999999999997846,9287,9287,9287,0.8210578348986654,SCOOTER,['WRONG PARKING'],0.3744309878742714,12.981962282368803,77.60773290754804
6,64,"BTP080 - NR Road, SP Road Junction","BTP080 - NR Road, SP Road Junction (Cluster 64)",102,8,8.0,134,0.059701492536867906,1.351875112774254,0.0007559755857406597,134924.9921875,1.9607870882509815e-11,0.9999999999803921,102,102,102,5.0,SCOOTER,['WRONG PARKING'],0.37365555973637204,12.964301476470586,77.58299856470587
7,56,BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction (Cluster 56),265,9,9.0,134,0.06716417910397639,1.326231233383922,0.0008248974878831604,321252.0390625,7.547074076796889e-12,0.9999999999924529,265,265,265,5.0,SCOOTER,['WRONG PARKING'],0.3712127440974292,12.999429728679246,77.5503542664151
8,5,POLICE_STATION::K.R. Pura,POLICE_STATION::K.R. Pura (Cluster 5),1058,85,85.0,134,0.6343283582042215,0.45355818924414254,0.007306515512263711,144802.265625,1.8902657217267915e-12,0.9999999999981097,1058,1058,1058,1.2551605504587158,CAR,['WRONG PARKING'],0.36944289144305364,13.008494429253307,77.69530268616256
9,347,"BTP148 - 17th Main, Doopanahalli Bus Stop","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",122,10,10.0,134,0.07462686567108488,1.2751105889935668,0.0006317257391183025,193121.78125,1.639355318161506e-11,0.9999999999836064,122,122,122,5.0,CAR,['NO PARKING'],0.36726124853700226,12.970347181732814,77.6449368902705
10,20,BTP082 - KR Market Junction,BTP082 - KR Market Junction (Cluster 20),374,12,12.0,134,0.08955223880530186,1.2216471910241538,0.001173868709533011,318604.625,5.347500220409529e-12,0.9999999999946525,374,374,374,5.0,SCOOTER,['WRONG PARKING'],0.36539576202766755,12.965108344385026,77.57599985347593
11,8,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 8),59,5,5.0,134,0.03731343283554244,0.559322033879345,0.058999999999941,1000.0,3.389821756627498e-11,0.9999999999661018,59,59,59,2.1785714285714284,SCOOTER,['NO PARKING'],0.36205059592490396,12.996288523728817,77.56310235423729
12,342,"BTP070 - Cholurpalya Junction, Magadi Road","BTP070 - Cholurpalya Junction, Magadi Road (Cluster 342)",266,13,13.0,134,0.09701492537241034,0.9227160060603243,0.011539230604988942,23051.796875,7.518652367366485e-12,0.9999999999924813,266,266,266,5.0,SCOOTER,['NO PARKING'],0.35997055249269294,12.973605712030077,77.5511454537594
13,37,BTP044 - Sagar Theatre Junction,BTP044 - Sagar Theatre Junction (Cluster 37),798,14,14.0,134,0.10447761193951884,1.1332492522576094,0.0009808939256330587,813543.625,2.5062174557888284e-12,0.9999999999974938,798,798,798,5.0,CAR,['WRONG PARKING'],0.3571101745427495,12.97657935526316,77.57756462882205
14,523,BTP047 - Vidhan Soudha Metro Station,BTP047 - Vidhan Soudha Metro Station (Cluster 523),26,7,7.0,134,0.05223880596975942,1.1703941579190267,0.0009934261635555798,26172.05078125,7.692313452878352e-11,0.9999999999230769,26,26,26,5.0,CAR,['NO PARKING'],0.35343635486340674,12.980022926923075,77.59337310384616
15,119,BTP135 - UCO Bank Junction,BTP135 - UCO Bank Junction (Cluster 119),79,6,6.0,134,0.04477611940265093,1.2286960401933156,0.001319196844990435,59884.921875,2.531663767513237e-11,0.9999999999746834,79,79,79,5.0,SCOOTER,['NO PARKING'],0.3524829964451528,12.93534355949367,77.61527929873418
