network_rank,cluster_id,cluster_label,cluster_label_display,risk_band,network_vulnerability_score,source_pressure_score,spillover_out_score,spillover_in_score,spillover_total_score,secondary_risk_score,propagation_radius_m,neighbor_count,road_node_betweenness,road_node_degree,road_node_distance_m,network_pagerank,network_component_id,network_component_size,layer_d_alert_flag,propagation_class,ccs_score,delay_minutes_per_vehicle,growth_pct_change,growth_multiplier,layer_b_priority_boost,context_multiplier,validation_uncertainty,resurgence_score,persistence_score,anomaly_score,rop,tvs,vdi,records_total,distinct_days,severity_sum,nearby_sensitive_poi_count,road_class,geometry_source,mappls_address,lat,lon,merged_cluster_ids,physical_hotspot_key
1,572,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 572),Watch,66.333701192941,26.428275315101306,3.2672288666604685,1.3179134517686473,4.585142318429115,1.3179134517686473,449.1076517454057,58,0.0291092749308099,6,19.48527208373485,0.0018857803058251685,1,502,True,Severe Propagator,0.0,1.2902882034063221e-14,17.4999999825,18.4999999825,0.0,1.0,5.2631454749985096e-11,5.0,2.404245126994247,0.0,,,,38.0,9.0,45.0,0.0,secondary,osmnx,,12.957942210526316,77.58636156578947,572,btp192 - urvashi theater|12.95794|77.58636
2,349,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 349),Watch,66.2248964242927,26.207118234017585,3.233881314302,1.320172485799925,4.554053800101926,1.320172485799925,450.8209414908261,58,0.0291092749308099,6,26.237183750845368,0.0018828911973507642,1,502,True,Severe Propagator,0.0,1.8436669618883756e-17,15.999999984,16.999999984,0.0,1.0,1.1111112030448568e-10,5.0,1.4863766423860445,0.0,,,,18.0,6.0,18.0,0.0,secondary,osmnx,,12.95800022777778,77.58638065555556,349,btp192 - urvashi theater|12.958|77.58638
3,571,BTP020 - Hosahalli Metro Station,BTP020 - Hosahalli Metro Station (Cluster 571),Watch,65.45688030749027,34.287210381547474,3.9663762429642633,0.7277825809944669,4.69415882395873,0.7277825809944669,631.6220007450844,72,0.0153201734612222,6,13.038932087893581,0.0015860588747549855,1,502,True,Severe Propagator,0.0,5.83503452925682e-16,42.999999957,43.999999957,0.0,1.0,4.4444226077189335e-11,5.0,1.5298709121885923,0.0,,,,45.0,6.0,48.0,0.0,secondary,osmnx,,12.970889755555554,77.5464585,571,btp020 - hosahalli metro station|12.97089|77.54646
4,658,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 658)",Watch,64.04570184177688,40.635852400108,3.626234459784522,0.7047429875115754,4.330977447296098,0.7047429875115754,405.065553960349,40,0.0036993531358567,8,45.511138440573234,0.0012938962704558607,1,502,True,Severe Propagator,0.0,2.1748858877497184e-12,62.9999999685,63.9999999685,0.0,1.0,1.5384360452230794e-11,5.0,2.6167449379751964,0.0,,,,130.0,8.0,137.0,0.0,tertiary,osmnx,,12.92831098,77.58075038615384,658,"btp189 - new diagonal road, jayanagar|12.92831|77.58075"
5,431,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 431),Watch,61.47658665492172,29.103471227945654,3.6563294781370677,1.1377559494228702,4.794085427559938,1.1377559494228702,471.86168917909436,56,0.0074937445686192,8,2.3635652630871418,0.0014757671252921157,1,502,True,Severe Propagator,0.0,1.9586598425614782e-14,26.4999999735,27.4999999735,0.0,1.0,3.5714098345351886e-11,5.0,2.1289861487163755,0.0,,,,56.0,8.0,72.0,0.0,secondary,osmnx,,12.986521382142858,77.57447258214286,431,police_station::sheshadripuram|12.98652|77.57447
6,359,POLICE_STATION::Halasur,POLICE_STATION::Halasur (Cluster 359),Watch,60.33912246592753,38.740644345538655,3.2711265575059514,0.6137253959191454,3.884851953425097,0.6137253959191454,669.8866348337373,50,0.0062879650334313,4,11.571195176420147,0.001221688947715863,1,502,True,Severe Propagator,0.0,9.985721144185565e-14,56.49999994349999,57.49999994349999,0.0,1.0,1.7241541527823756e-11,5.0,3.388430779271824,0.0,,,,116.0,12.0,119.0,0.0,primary,osmnx,,12.973447327586204,77.61519790258622,359,police_station::halasur|12.97345|77.6152
7,75,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 75),Watch,59.93573709993709,25.073593591930354,3.0367913438333476,1.2242786957980698,4.261070039631417,1.2242786957980698,407.92882027056635,52,0.0213517865170736,4,17.884256464655728,0.001551005364526004,1,502,True,Severe Propagator,0.0,3.6721969059482194e-14,13.49999999325,14.49999999325,0.0,1.0,6.451617018399247e-11,5.0,1.5344332953085549,0.0,,,,31.0,6.0,39.0,0.0,residential,osmnx,,12.989603558064516,77.57334065806451,75,police_station::sheshadripuram|12.9896|77.57334
8,532,BTP171 - Indian Express (Balekundri),BTP171 - Indian Express (Balekundri) (Cluster 532),Watch,59.59375636569535,23.626602732578885,2.953304117102748,0.9526148751028459,3.905918992205594,0.9526148751028459,380.26011606839586,54,0.0339048872787536,4,45.7109020238694,0.0017177347637972354,1,502,True,Severe Propagator,0.0,1.1332285763686628e-15,9.333333331777778,10.333333331777778,0.0,1.0,2.9411806323764716e-11,5.0,2.2296618376813586,0.0,,,,68.0,8.0,127.0,0.0,primary,osmnx,,12.988731555882351,77.59869265441176,532,btp171 - indian express (balekundri)|12.98873|77.59869
9,335,BTP048 - Shanthala Junction,BTP048 - Shanthala Junction (Cluster 335),Watch,58.954566367943976,29.14273870905203,2.4070546708289333,0.9994324109282025,3.4064870817571355,0.9994324109282025,314.45390853611184,34,0.0322623338563041,4,165.13044873404525,0.001279152310048803,1,502,True,Severe Propagator,0.0,6.85407663937935e-14,25.999999974,26.999999974,0.0,1.0,7.142864077991362e-11,5.0,1.779625821886015,0.0,,,,28.0,7.0,48.0,0.0,primary,osmnx,,12.976819435714289,77.57082801785714,335,btp048 - shanthala junction|12.97682|77.57083
10,14,POLICE_STATION::Bellandur,POLICE_STATION::Bellandur (Cluster 14),Watch,58.02675514005566,31.498946367871195,3.24696156667788,0.6549231568945334,3.9018847235724134,0.6549231568945334,272.3877928642823,34,0.0150552227805889,3,33.524698130738706,0.0013655161063244774,2,76,True,Severe Propagator,0.0,2.3511649530343985e-15,33.999999966,34.999999966,0.0,1.0,2.816902266999932e-11,5.0,2.484519757548274,0.0,,,,71.0,9.0,109.0,0.0,tertiary,osmnx,,12.926210317986348,77.67699707755419,14,police_station::bellandur|12.92621|77.677
