physical_hotspot_key,merged_cluster_ids,cluster_id,cluster_label,cluster_label_display,risk_band,lat,lon,ccs_score,delay_minutes_per_vehicle,records_total,distinct_days,severity_sum,severity_mean,growth_pct_change,growth_multiplier,context_multiplier,layer_b_priority_boost,layer_b_alert_flag,validation_uncertainty,resurgence_score,persistence_score,anomaly_score,rop,tvs,vdi,nearby_sensitive_poi_count,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,geometry_source,mappls_address,road_node_id,road_node_distance_m,road_node_degree,road_node_betweenness,source_pressure_score,source_pressure_norm,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,network_pagerank,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,layer_d_alert_flag,road_node_betweenness_norm,road_node_degree_norm,road_node_distance_norm,context_boost,growth_surge,layer_d_pressure_ccs_score_norm,layer_d_pressure_delay_minutes_per_vehicle_norm,layer_d_pressure_growth_surge_norm,layer_d_pressure_layer_b_priority_boost_norm,layer_d_pressure_context_boost_norm,layer_d_pressure_persistence_score_norm,layer_d_pressure_resurgence_score_norm,layer_d_pressure_validation_uncertainty_norm,layer_d_pressure_anomaly_score_norm,layer_d_pressure_rop_norm,layer_d_pressure_tvs_norm,layer_d_pressure_vdi_norm,layer_d_pressure_raw,layer_d_pressure_score,source_idx,layer_d_vulnerability_source_pressure_score_norm,layer_d_vulnerability_spillover_out_score_norm,layer_d_vulnerability_spillover_in_score_norm,layer_d_vulnerability_road_node_betweenness_norm,layer_d_vulnerability_network_pagerank_norm,layer_d_vulnerability_resurgence_score_norm,layer_d_vulnerability_validation_uncertainty_norm,layer_d_vulnerability_raw,layer_d_vulnerability_score,secondary_risk_score,network_rank,propagation_class
btp192 - urvashi theater|12.95794|77.58636,572,572,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 572),Watch,12.957942210526316,77.58636156578947,0.0,1.2902882034063221e-14,38.0,9.0,45.0,1.1842105263157894,17.4999999825,18.4999999825,1.0,0.0,False,5.2631454749985096e-11,5.0,2.404245126994247,0.0,,,,0.0,secondary,3.0,10.5,101.51361259025651,6.0,0.0306073118115792,osmnx,,1836940324,19.48527208373485,6,0.0291092749308099,26.428275315101306,0.2642827531510131,3.2672288666604685,1.3179134517686473,4.585142318429115,449.1076517454057,0.0018857803058251685,1,502,58,29,29,1.9493154148918213,66.333701192941,True,0.4599298855383272,0.7142857141836735,0.0021461096897943534,0.0,17.4999999825,,7.800919844260413e-11,0.27777777763447975,,,0.0239323870339748,0.9999999997944319,0.03940720235033001,,,,,0.2642827531510131,26.428275315101306,386,0.5527751747668026,0.823731453018935,0.8320680567279287,0.4599298855383272,0.9251620930653612,0.9999999997944319,0.03940720235033001,0.6633370119294101,66.333701192941,1.3179134517686473,1,Severe Propagator
btp192 - urvashi theater|12.958|77.58638,349,349,BTP192 - Urvashi Theater,BTP192 - Urvashi Theater (Cluster 349),Watch,12.95800022777778,77.58638065555556,0.0,1.8436669618883756e-17,18.0,6.0,18.0,1.0,15.999999984,16.999999984,1.0,0.0,False,1.1111112030448568e-10,5.0,1.4863766423860445,0.0,,,,0.0,secondary,3.0,10.5,101.51361259025651,6.0,0.0306073118115792,osmnx,,1836940324,26.237183750845368,6,0.0291092749308099,26.207118234017585,0.26207118234017585,3.233881314302,1.320172485799925,4.554053800101926,450.8209414908261,0.0018828911973507642,1,502,58,29,29,1.9137088285020751,66.2248964242927,True,0.4599298855383272,0.7142857141836735,0.002910107651354919,0.0,15.999999984,,1.1146578067778579e-13,0.25396825383723864,,,0.014752667055902346,0.9999999997944319,0.08326998202627782,,,,,0.26207118234017585,26.207118234017585,669,0.5478886174288117,0.8153238914798061,0.833494303689719,0.4599298855383272,0.923584905837857,0.9999999997944319,0.08326998202627782,0.662248964242927,66.2248964242927,1.320172485799925,2,Severe Propagator
btp020 - hosahalli metro station|12.97089|77.54646,571,571,BTP020 - Hosahalli Metro Station,BTP020 - Hosahalli Metro Station (Cluster 571),Watch,12.970889755555554,77.5464585,0.0,5.83503452925682e-16,45.0,6.0,48.0,1.0666666666666669,42.999999957,43.999999957,1.0,0.0,False,4.4444226077189335e-11,5.0,1.5298709121885923,0.0,,,,0.0,secondary,2.0,7.0,40.34224223830406,6.0,0.0149869983574619,osmnx,,683061156,13.038932087893581,6,0.0153201734612222,34.287210381547474,0.3428721038154747,3.9663762429642633,0.7277825809944669,4.69415882395873,631.6220007450844,0.0015860588747549855,1,502,72,36,36,3.238593661969796,65.45688030749027,True,0.24206049938363067,0.7142857141836735,0.0014166880298014692,0.0,42.999999957,,3.5277883290768995e-12,0.6825396821875788,,,0.01518765880486576,0.9999999997944319,0.03326635657041078,,,,,0.3428721038154747,34.287210381547474,590,0.7264216012323356,0.9999999997478807,0.45948740949250594,0.24206049938363067,0.7615417869809157,0.9999999997944319,0.03326635657041078,0.6545688030749026,65.45688030749027,0.7277825809944669,3,Severe Propagator
"btp189 - new diagonal road, jayanagar|12.92831|77.58075",658,658,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 658)",Watch,12.92831098,77.58075038615384,0.0,2.1748858877497184e-12,130.0,8.0,137.0,1.053846153846154,62.9999999685,63.9999999685,1.0,0.0,False,1.5384360452230794e-11,5.0,2.6167449379751964,0.0,,,,0.0,tertiary,2.0,7.0,116.95146687450143,8.0,0.0040515560129234,osmnx,,303925571,45.511138440573234,8,0.0036993531358567,40.635852400108,0.40635852400108,3.626234459784522,0.7047429875115754,4.330977447296098,405.065553960349,0.0012938962704558607,1,502,40,20,20,2.9214914722729466,64.04570184177688,True,0.058450204217885854,0.9999999998571428,0.0050910103082856305,0.0,62.9999999685,,1.3149085945262989e-08,0.999999999984127,,,0.026057624791790513,0.9999999997944319,0.011469951422842191,,,,,0.40635852400107997,40.635852400108,77,0.8666974770489912,0.9142436916575064,0.44494130272700927,0.058450204217885854,0.6020479043741099,0.9999999997944319,0.011469951422842191,0.6404570184177688,64.04570184177688,0.7047429875115754,4,Severe Propagator
police_station::sheshadripuram|12.98652|77.57447,431,431,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 431),Watch,12.986521382142858,77.57447258214286,0.0,1.9586598425614782e-14,56.0,8.0,72.0,1.2857142857142858,26.4999999735,27.4999999735,1.0,0.0,False,3.5714098345351886e-11,5.0,2.1289861487163755,0.0,,,,0.0,secondary,2.0,7.0,41.09603034688859,8.0,0.0086061210690259,osmnx,,10036070925,2.3635652630871418,8,0.0074937445686192,29.103471227945654,0.29103471227945654,3.6563294781370677,1.1377559494228702,4.794085427559938,471.86168917909436,0.0014757671252921157,1,502,56,28,28,2.5185735287141977,61.47658665492172,True,0.11840202443691016,0.9999999998571428,0.000208739985576869,0.0,26.4999999735,,1.1841810530125587e-10,0.42063492041792644,,,0.021179486826141902,0.9999999997944319,0.02671830836231021,,,,,0.29103471227945654,29.103471227945654,347,0.6118847368681581,0.921831226601611,0.7183251529882051,0.11840202443691016,0.7013326463089625,0.9999999997944319,0.02671830836231021,0.6147658665492172,61.47658665492172,1.1377559494228702,5,Severe Propagator
police_station::halasur|12.97345|77.6152,359,359,POLICE_STATION::Halasur,POLICE_STATION::Halasur (Cluster 359),Watch,12.973447327586204,77.61519790258622,0.0,9.985721144185565e-14,116.0,12.0,119.0,1.0258620689655171,56.49999994349999,57.49999994349999,1.0,0.0,False,1.7241541527823756e-11,5.0,3.388430779271824,0.0,,,,0.0,primary,2.0,7.0,83.68110429342855,4.0,0.0150737296032308,osmnx,,334473855,11.571195176420147,4,0.0062879650334313,38.740644345538655,0.38740644345538655,3.2711265575059514,0.6137253959191454,3.884851953425097,669.8866348337373,0.001221688947715863,1,502,50,25,25,2.657401161586806,60.33912246592753,True,0.09935056936214101,0.4285714285102041,0.0012506094340261212,0.0,56.49999994349999,,6.037241139404366e-10,0.8968253963627487,,,0.0337753534783464,0.9999999997944319,0.01286293347163923,,,,,0.38740644345538655,38.740644345538655,212,0.8248220698465902,0.8247141361043872,0.38747711153696146,0.09935056936214101,0.5626293542688615,0.9999999997944319,0.01286293347163923,0.6033912246592753,60.33912246592753,0.6137253959191454,6,Severe Propagator
police_station::sheshadripuram|12.9896|77.57334,75,75,POLICE_STATION::Sheshadripuram,POLICE_STATION::Sheshadripuram (Cluster 75),Watch,12.989603558064516,77.57334065806451,0.0,3.6721969059482194e-14,31.0,6.0,39.0,1.2580645161290325,13.49999999325,14.49999999325,1.0,0.0,False,6.451617018399247e-11,5.0,1.5344332953085549,0.0,,,,0.0,residential,2.0,7.0,109.54528819274796,4.0,0.026756187041197,osmnx,,429724010,17.884256464655728,4,0.0213517865170736,25.073593591930354,0.25073593591930354,3.0367913438333476,1.2242786957980698,4.261070039631417,407.92882027056635,0.001551005364526004,1,502,52,26,26,1.8125126480352778,59.93573709993709,True,0.3373606780717994,0.4285714285102041,0.001964950230116983,0.0,13.49999999325,,2.2201639633701384e-10,0.21428571428231294,,,0.015233287781321814,0.9999999997944319,0.04832135481085281,,,,,0.25073593591930354,25.073593591930354,290,0.5228429208115373,0.7656337061958031,0.7729515120579612,0.3373606780717994,0.7424057977641246,0.9999999997944319,0.04832135481085281,0.5993573709993709,59.93573709993709,1.2242786957980698,7,Severe Propagator
btp171 - indian express (balekundri)|12.98873|77.59869,532,532,BTP171 - Indian Express (Balekundri),BTP171 - Indian Express (Balekundri) (Cluster 532),Watch,12.988731555882351,77.59869265441176,0.0,1.1332285763686628e-15,68.0,8.0,127.0,1.8676470588235292,9.333333331777778,10.333333331777778,1.0,0.0,False,2.9411806323764716e-11,5.0,2.2296618376813586,0.0,,,,0.0,primary,3.0,10.5,125.44478642864478,4.0,0.0292192578741922,osmnx,,2187438204,45.7109020238694,4,0.0339048872787536,23.626602732578885,0.23626602732578886,2.953304117102748,0.9526148751028459,3.905918992205594,380.26011606839586,0.0017177347637972354,1,502,54,27,27,2.0006892419999023,59.59375636569535,True,0.5357011111534808,0.4285714285102041,0.005113614124501968,0.0,9.333333331777778,,6.851357135668875e-12,0.14814814819517932,,,0.02218635725343689,0.9999999997944319,0.021991262751238187,,,,,0.23626602732578886,23.626602732578885,558,0.49087105824615584,0.7445849650791114,0.6014358582297006,0.5357011111534808,0.8334246990306364,0.9999999997944319,0.021991262751238187,0.5959375636569535,59.59375636569535,0.9526148751028459,8,Severe Propagator
btp048 - shanthala junction|12.97682|77.57083,335,335,BTP048 - Shanthala Junction,BTP048 - Shanthala Junction (Cluster 335),Watch,12.976819435714289,77.57082801785714,0.0,6.85407663937935e-14,28.0,7.0,48.0,1.7142857142857142,25.999999974,26.999999974,1.0,0.0,False,7.142864077991362e-11,5.0,1.779625821886015,0.0,,,,0.0,primary,2.0,7.0,515.5257102177723,4.0,0.0319701026588257,osmnx,,12121597668,165.13044873404525,4,0.0322623338563041,29.14273870905203,0.2914273870905203,2.4070546708289333,0.9994324109282025,3.4064870817571355,314.45390853611184,0.001279152310048803,1,502,34,17,17,1.4076222599007309,58.954566367943976,True,0.5097485785200353,0.4285714285102041,0.018626274650184717,0.0,25.999999974,,4.1438883444072347e-10,0.41269841248551276,,,0.01768548956451948,0.9999999997944319,0.05350606597310779,,,,,0.2914273870905203,29.14273870905203,244,0.6127523681327982,0.6068649373573196,0.6309942302174182,0.5097485785200353,0.5939990594647353,0.9999999997944319,0.05350606597310779,0.5895456636794397,58.954566367943976,0.9994324109282025,9,Severe Propagator
police_station::bellandur|12.92621|77.677,14,14,POLICE_STATION::Bellandur,POLICE_STATION::Bellandur (Cluster 14),Watch,12.926210317986348,77.67699707755419,0.0,2.3511649530343985e-15,71.0,9.0,109.0,1.5352112676056338,33.999999966,34.999999966,1.0,0.0,False,2.816902266999932e-11,5.0,2.484519757548274,0.0,,,,0.0,tertiary,2.0,7.0,381.1578949215379,3.0,0.0170083673915042,osmnx,,12506414300,33.524698130738706,3,0.0150552227805889,31.498946367871195,0.31498946367871195,3.24696156667788,0.6549231568945334,3.9018847235724134,272.3877928642823,0.0013655161063244774,2,76,34,17,17,2.5920384097833464,58.02675514005566,True,0.23787424821431702,0.2857142856734694,0.0037347105794712015,0.0,33.999999966,,1.4214846954994468e-11,0.539682539404132,,,0.02473522386973754,0.9999999997944319,0.021059110607871735,,,,,0.31498946367871195,31.498946367871195,519,0.6648137525958824,0.8186216755454969,0.4134874241795175,0.23787424821431702,0.641145740737359,0.9999999997944319,0.021059110607871735,0.5802675514005566,58.02675514005566,0.6549231568945334,10,Severe Propagator
"btp080 - nr road, sp road junction|12.9643|77.583",64,64,"BTP080 - NR Road, SP Road Junction","BTP080 - NR Road, SP Road Junction (Cluster 64)",Watch,12.964301476470586,77.58299856470587,0.0,1.312962149142994e-13,102.0,8.0,161.0,1.5784313725490196,49.4999999505,50.4999999505,1.0,0.0,False,1.960787088250981e-11,5.0,2.2030874972688643,0.0,,,,0.0,living_street,2.0,7.0,32.14771735041353,6.0,0.0001323335371434,osmnx,,429001167,20.932106504366544,6,0.000189322321614,36.299075434626786,0.3629907543462679,2.9476995602991463,0.83921132858519,3.786910888884336,788.5766689035136,0.0011649607239605023,1,502,56,28,28,2.1084882317139564,57.35837302324621,True,0.0029913144149672824,0.7142857141836735,0.002309823109426711,0.0,49.4999999505,,7.938003662261644e-10,0.7857142853089569,,,0.021920583879931423,0.9999999997944319,0.014637803114636602,,,,,0.3629907543462679,36.299075434626786,193,0.7708745931510091,0.7431719481440361,0.5298382366632993,0.0029913144149672824,0.5316609670523145,0.9999999997944319,0.014637803114636602,0.5735837302324621,57.35837302324621,0.83921132858519,11,Severe Propagator
police_station::pulikeshinagar(f.town)|12.99543|77.61082,558,558,POLICE_STATION::Pulikeshinagar(F.Town),POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 558),Watch,12.995434701960784,77.61082448235294,0.0,4.990382631084546e-16,51.0,4.0,96.0,1.8823529411764703,48.999999951,49.999999951,1.0,0.0,False,3.9215519720414704e-11,5.0,0.9581409566475985,0.0,,,,0.0,tertiary,2.0,7.0,46.6315757946132,6.0,0.0003022881601139,osmnx,,10862090925,21.611232725031815,4,0.0002924061886283,36.038395391486446,0.36038395391486444,3.4593099012412303,0.465740278744684,3.9250501799859143,356.87464530193233,0.001294780338570719,1,502,34,17,17,2.9935696224965462,57.02306290087882,True,0.0046200513474201725,0.4285714285102041,0.0023866681681021665,0.0,48.999999951,,3.017122437801649e-12,0.7777777773765433,,,0.009469714477381399,0.9999999997944319,0.029344555842879375,,,,,0.36038395391486444,36.038395391486446,594,0.7651147595909299,0.8721587888958722,0.29404632614907206,0.0046200513474201725,0.6025305241688844,0.9999999997944319,0.029344555842879375,0.5702306290087882,57.02306290087882,0.465740278744684,12,Severe Propagator
"btp189 - new diagonal road, jayanagar|12.92862|77.5807",257,257,"BTP189 - New Diagonal Road, Jayanagar","BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",Watch,12.928616228735631,77.58070089425287,0.0,3.6124895578144688e-12,87.0,6.0,87.0,1.0,41.999999958,42.999999958,1.0,0.0,False,2.2988499992493416e-11,5.0,1.7331035025248995,0.0,,,,0.0,tertiary,2.0,7.0,116.95146687450143,8.0,0.0001166929488526,osmnx,,249075662,13.623008363793456,8,0.0001234492163512,33.8494727570322,0.338494727570322,3.074177227665342,0.7594967200195234,3.8336739476848654,421.3177286628664,0.0012829553202586819,1,502,42,21,21,2.3146805076458183,56.053289597527744,True,0.001950511789838796,0.9999999998571428,0.001482777917552379,0.0,41.999999958,,2.1840656532658442e-08,0.6666666663227513,,,0.01722021390506834,0.9999999997944319,0.017173450136747426,,,,,0.33849472757032206,33.8494727570322,65,0.7167496070519636,0.7750594090370011,0.47951021295806345,0.001950511789838796,0.5960751528970963,0.9999999997944319,0.017173450136747426,0.5605328959752774,56.053289597527744,0.7594967200195234,13,Severe Propagator
btp104 - medical college circle|12.95989|77.57752,63,63,BTP104 - Medical College Circle,BTP104 - Medical College Circle (Cluster 63),Watch,12.959891055263157,77.57751601578947,0.0,2.2795787541276332e-14,76.0,8.0,151.0,1.986842105263158,36.4999999635,37.4999999635,1.0,0.0,False,2.6315838397295007e-11,5.0,2.1612041263478923,0.0,,,,0.0,primary,2.0,7.0,30.169648032968325,4.0,0.0004844720496493,osmnx,,10023965470,20.95085485665573,4,0.0005171290187194,32.21402690376059,0.3221402690376059,3.035704186808683,0.8401900196759826,3.8758942064846655,551.2826934124871,0.0013567972954992042,1,502,50,25,25,2.1955141671327008,55.876459512416154,True,0.008170697860166306,0.4285714285102041,0.002311944538680789,0.0,36.4999999635,,1.378204581943987e-10,0.5793650790662006,,,0.02150170293648517,0.9999999997944319,0.01966912636836192,,,,,0.3221402690376059,32.21402690376059,334,0.6806137533138426,0.765359612928348,0.5304561358075565,0.008170697860166306,0.6363860727655697,0.9999999997944319,0.01966912636836192,0.5587645951241615,55.876459512416154,0.8401900196759826,14,Severe Propagator
police_station::hal old airport|12.93372|77.69088,96,96,POLICE_STATION::HAL Old Airport,POLICE_STATION::HAL Old Airport (Cluster 96),Watch,12.933721112840656,77.69087792219547,0.0,5.881037599495506e-14,98.0,6.0,174.0,1.7755102040816326,30.666666656444445,31.666666656444445,1.0,0.0,False,2.0408341683264556e-11,5.0,1.683035971567173,0.0,,,,0.0,primary,2.0,7.0,654.6255943453855,6.0,5.017217519617772e-05,osmnx,,11922878281,75.06574534133328,6,5.083794612265041e-05,30.222221363072382,0.3022222136307238,3.822545845861262,0.5445738137299108,4.3671196595911725,304.61041895124083,0.0014052513767636708,2,76,46,23,23,3.277972032131351,55.64740702155255,True,0.0008032453847363383,0.7142857141836735,0.00843519793101374,0.0,30.666666656444445,,3.555601205500514e-10,0.48677248684588903,,,0.016719482131516285,0.9999999997944319,0.015238197696883537,,,,,0.3022222136307238,30.222221363072382,257,0.6366039846326567,0.9637375807900544,0.3438180817769717,0.0008032453847363383,0.6628375399803922,0.9999999997944319,0.015238197696883537,0.5564740702155255,55.64740702155255,0.5445738137299108,15,Severe Propagator
btp008 - navarang theatre|12.99849|77.55295,247,247,BTP008 - Navarang Theatre,BTP008 - Navarang Theatre (Cluster 247),Watch,12.998487081967212,77.55294844918032,0.0,2.4594333952044942e-14,61.0,8.0,119.0,1.9508196721311477,28.999999971,29.999999971,1.0,0.0,False,3.2786662274020266e-11,5.0,2.137040643124255,0.0,,,,0.0,secondary,2.0,7.0,217.97545032159476,4.0,0.001946480867473,osmnx,,4912560046,6.17464778191586,4,0.0022077044377535,29.876775815067706,0.2987677581506771,3.0849604543270455,0.8521074735599926,3.937067927887038,761.389165748069,0.0012582240830316188,1,502,80,40,40,2.2328529807670527,54.391278386492935,True,0.03488198355238708,0.4285714285102041,0.000639974785331039,0.0,28.999999971,,1.486942430972976e-10,0.460317460079995,,,0.02126004085372772,0.9999999997944319,0.024522579604378574,,,,,0.2987677581506771,29.876775815067706,326,0.6289712221219256,0.7777780685888055,0.5379802510528371,0.03488198355238708,0.5825741743701669,0.9999999997944319,0.024522579604378574,0.5439127838649294,54.391278386492935,0.8521074735599926,16,Severe Propagator
"btp070 - cholurpalya junction, magadi road|12.97361|77.55115",342,342,"BTP070 - Cholurpalya Junction, Magadi Road","BTP070 - Cholurpalya Junction, Magadi Road (Cluster 342)",Watch,12.973605712030077,77.5511454537594,0.0,2.352102583878796e-11,266.0,13.0,278.0,1.045112781954887,4.282608695465973,5.282608695465973,1.0,0.0,False,7.518652367366485e-12,5.0,4.191912960543669,0.0,,,,0.0,residential,2.0,7.0,117.90088085945987,6.0,0.0122294596584982,osmnx,,683067921,28.90312972871009,6,0.0117840448289402,22.251486834641913,0.22251486834641912,3.1520356864752515,0.8937404733788369,4.045776159854088,442.27928970103557,0.0017368664756698398,1,502,72,36,36,2.2582952130964147,54.03256687843962,True,0.18618926105976313,0.7142857141836735,0.0032117670025340315,0.0,4.282608695465973,,1.422051575289663e-07,0.06797791583395713,,,0.04181108142317803,0.9999999997944319,0.0055702627455841425,,,,,0.22251486834641912,22.251486834641913,39,0.46048730273299615,0.7946890291287382,0.5642653528617084,0.18618926105976313,0.8438688522609804,0.9999999997944319,0.0055702627455841425,0.5403256687843961,54.03256687843962,0.8937404733788369,17,Severe Propagator
btp051 - safina plaza junction|12.98196|77.60773,3,3,BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction (Cluster 3),Watch,12.981962282368803,77.60773290754804,0.0,0.000165401058881,9287.0,87.0,15028.0,1.618175944869172,-0.1437795953506538,1.0,1.0,0.0,False,2.1538326677728042e-13,0.8210578348986654,61.98303693794115,0.0,,,,0.0,unclassified,2.0,7.0,177.03759097046907,4.0,4.795159784625067e-06,osmnx,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",1567429298,43.3567073273941,3,3.7713609883271817e-06,45.21535268518432,0.45215352685184323,2.874636840085268,0.4102706973833976,3.2849075374686656,773.9602132544329,0.0008420403433026325,1,502,46,23,23,2.464366142701871,53.8249174056196,True,5.958793655314083e-05,0.2857142856734694,0.004847230315308335,0.0,0.0,,0.9999939541260444,0.0,,,0.6197874955028352,0.14094299134080288,9.243245302275909e-05,,,,,0.4521535268518432,45.21535268518432,0,0.9678834332603575,0.7247514263074959,0.2590254628982587,5.958793655314083e-05,0.3553761704146854,0.14094299134080288,9.243245302275909e-05,0.538249174056196,53.8249174056196,0.4102706973833976,18,Severe Propagator
"btp148 - 17th main, doopanahalli bus stop|12.97035|77.64494",347,347,"BTP148 - 17th Main, Doopanahalli Bus Stop","BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",Watch,12.970347181732814,77.6449368902705,0.0,9.777517261215663e-14,122.0,10.0,189.0,1.5491803278688523,13.7499999965625,14.7499999965625,1.0,0.0,False,1.6393553181615058e-11,5.0,2.8709307586548785,0.0,,,,0.0,tertiary,2.0,7.0,94.97045397981404,6.0,0.0141042062228844,osmnx,,1420066813,4.31372306852082,6,0.0147126826332224,25.059343755567838,0.25059343755567837,2.6954607116664313,0.8041576485764206,3.499618360242852,366.4483283107177,0.001652756974073994,1,502,44,22,22,1.8913030630900107,53.35546130146543,True,0.2324620745636498,0.7142857141836735,0.00042940587422146475,0.0,13.7499999965625,,5.911363696053013e-10,0.21825396830506744,,,0.02859976965825472,0.9999999997944319,0.012226898267866404,,,,,0.25059343755567837,25.059343755567838,214,0.5225280647730093,0.6795776663316253,0.5077070053848591,0.2324620745636498,0.7979528083311757,0.9999999997944319,0.012226898267866404,0.5335546130146543,53.35546130146543,0.8041576485764206,19,Severe Propagator
btp023 - mahalaxmi layout entrance|13.00712|77.54854,767,767,BTP023 - Mahalaxmi Layout Entrance,BTP023 - Mahalaxmi Layout Entrance (Cluster 767),Watch,13.007117619230767,77.54853532692309,0.0,4.2881000835465044e-15,26.0,3.0,46.0,1.7692307692307692,23.999999976,24.999999976,1.0,0.0,False,7.692313452878352e-11,5.0,0.6136133264619658,0.0,,,,0.0,tertiary,2.0,7.0,82.97745751514825,6.0,0.0005547581501165,osmnx,,4484966000,18.92949973792901,6,0.0005439308241431,28.315800814612167,0.2831580081461217,2.842258649866814,0.9111831764050312,3.753441826271845,468.0271292995744,0.0014381791975968436,1,502,50,25,25,1.9310754734617825,53.32661113913839,True,0.008594169462603772,0.7142857141836735,0.0020832224720370887,0.0,23.999999976,,2.5925312614346698e-11,0.38095238075585797,,,0.006024049632310469,0.9999999997944319,0.05762722101823963,,,,,0.2831580081461217,28.315800814612167,474,0.5944808327320931,0.7165882596720248,0.5752778484027552,0.008594169462603772,0.6808130984987817,0.9999999997944319,0.05762722101823963,0.5332661113913839,53.32661113913839,0.9111831764050312,20,Severe Propagator
