source_idx,target_idx,source_cluster_id,target_cluster_id,source_label,target_label,distance_m,decay_factor,source_pressure_norm,target_pressure_norm,source_road_centrality_norm,target_road_centrality_norm,influence_weight
0,17,3,123,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 123),1004.9682222941378,0.18731810011838917,0.45215352685184323,0.06548891263091791,5.958793655314083e-05,7.309453550518608e-05,0.08469963503882726
17,0,123,3,BTP042 - Minsk Square Junction (CTO) (Cluster 123),BTP051 - Safina Plaza Junction (Cluster 3),1004.9682222941378,0.18731810011838917,0.06548891263091791,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.012267624183159057
0,18,3,74,BTP051 - Safina Plaza Junction (Cluster 3),BTP051 - Safina Plaza Junction (Cluster 74),135.34611535225187,0.7980557203895519,0.45215352685184323,0.1508112535127534,5.958793655314083e-05,0.00035593860767742783,0.36090792770203817
18,0,74,3,BTP051 - Safina Plaza Junction (Cluster 74),BTP051 - Safina Plaza Junction (Cluster 3),135.34611535225187,0.7980557203895519,0.1508112535127534,0.45215352685184323,0.00035593860767742783,5.958793655314083e-05,0.12035936944136917
0,58,3,549,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 549),1011.528192696346,0.18528125313383215,0.45215352685184323,0.17428511294932206,5.958793655314083e-05,7.309453550518608e-05,0.08377863383225469
58,0,549,3,BTP042 - Minsk Square Junction (CTO) (Cluster 549),BTP051 - Safina Plaza Junction (Cluster 3),1011.528192696346,0.18528125313383215,0.17428511294932206,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.032292726229617943
0,66,3,89,BTP051 - Safina Plaza Junction (Cluster 3),BTP211 - Central Street Junction (Cluster 89),546.9205399446896,0.4019071314917474,0.45215352685184323,0.04981261423029113,5.958793655314083e-05,0.007879114223966496,0.1824396379719054
66,0,89,3,BTP211 - Central Street Junction (Cluster 89),BTP051 - Safina Plaza Junction (Cluster 3),546.9205399446896,0.4019071314917474,0.04981261423029113,0.45215352685184323,0.007879114223966496,5.958793655314083e-05,0.020020641373983874
0,80,3,690,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 690),1016.7459676269625,0.18367697906547487,0.45215352685184323,0.07034426610336955,5.958793655314083e-05,7.309453550518608e-05,0.0830532291436195
80,0,690,3,BTP042 - Minsk Square Junction (CTO) (Cluster 690),BTP051 - Safina Plaza Junction (Cluster 3),1016.7459676269625,0.18367697906547487,0.07034426610336955,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.012921007249055497
0,82,3,369,BTP051 - Safina Plaza Junction (Cluster 3),POLICE_STATION::Cubbon Park (Cluster 369),863.2555995218163,0.23722188966519347,0.45215352685184323,0.050940013032620905,5.958793655314083e-05,0.0005148397718191368,0.10728832509935159
82,0,369,3,POLICE_STATION::Cubbon Park (Cluster 369),BTP051 - Safina Plaza Junction (Cluster 3),863.2555995218163,0.23722188966519347,0.050940013032620905,0.45215352685184323,0.0005148397718191368,5.958793655314083e-05,0.012084446184047352
0,87,3,127,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 127),1028.5627254279837,0.18009492444894162,0.45215352685184323,0.04040500744103646,5.958793655314083e-05,7.309453550518608e-05,0.08143353132201145
87,0,127,3,BTP042 - Minsk Square Junction (CTO) (Cluster 127),BTP051 - Safina Plaza Junction (Cluster 3),1028.5627254279837,0.18009492444894162,0.04040500744103646,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.007276953565316642
0,127,3,270,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 270),1005.8038750607515,0.18705739356299234,0.45215352685184323,0.1468202202872405,5.958793655314083e-05,7.309453550518608e-05,0.0845817513421616
127,0,270,3,BTP042 - Minsk Square Junction (CTO) (Cluster 270),BTP051 - Safina Plaza Junction (Cluster 3),1005.8038750607515,0.18705739356299234,0.1468202202872405,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.02746462598509182
0,136,3,637,BTP051 - Safina Plaza Junction (Cluster 3),POLICE_STATION::Shivajinagar (Cluster 637),708.529760497442,0.30700755144326064,0.45215352685184323,0.027157793719189756,5.958793655314083e-05,0.06838708851748698,0.14356110851712842
136,0,637,3,POLICE_STATION::Shivajinagar (Cluster 637),BTP051 - Safina Plaza Junction (Cluster 3),708.529760497442,0.30700755144326064,0.027157793719189756,0.45215352685184323,0.06838708851748698,5.958793655314083e-05,0.008337896163942244
0,138,3,73,BTP051 - Safina Plaza Junction (Cluster 3),BTP042 - Minsk Square Junction (CTO) (Cluster 73),1004.082267033132,0.18759489685316896,0.45215352685184323,0.04100634155953795,5.958793655314083e-05,7.309453550518608e-05,0.0848247942327384
138,0,73,3,BTP042 - Minsk Square Junction (CTO) (Cluster 73),BTP051 - Safina Plaza Junction (Cluster 3),1004.082267033132,0.18759489685316896,0.04100634155953795,0.45215352685184323,7.309453550518608e-05,5.958793655314083e-05,0.007692809607684192
0,225,3,747,BTP051 - Safina Plaza Junction (Cluster 3),POLICE_STATION::Shivajinagar (Cluster 747),723.4860772578215,0.2994493087230571,0.45215352685184323,0.04113969547596466,5.958793655314083e-05,0.06838708851748698,0.14002676645207834
225,0,747,3,POLICE_STATION::Shivajinagar (Cluster 747),BTP051 - Safina Plaza Junction (Cluster 3),723.4860772578215,0.2994493087230571,0.04113969547596466,0.45215352685184323,0.06838708851748698,5.958793655314083e-05,0.012319620410798832
0,271,3,102,BTP051 - Safina Plaza Junction (Cluster 3),BTP051 - Safina Plaza Junction (Cluster 102),885.0638041007213,0.22875439997047917,0.45215352685184323,0.06039224689287051,5.958793655314083e-05,0.8894913750917127,0.14943309304076163
271,0,102,3,BTP051 - Safina Plaza Junction (Cluster 102),BTP051 - Safina Plaza Junction (Cluster 3),885.0638041007213,0.22875439997047917,0.06039224689287051,0.45215352685184323,0.8894913750917127,5.958793655314083e-05,0.013815403804287
0,278,3,582,BTP051 - Safina Plaza Junction (Cluster 3),POLICE_STATION::Shivajinagar (Cluster 582),715.3344220735072,0.30354541661674644,0.45215352685184323,0.023849999074164307,5.958793655314083e-05,0.06838708851748698,0.14194216490745637
278,0,582,3,POLICE_STATION::Shivajinagar (Cluster 582),BTP051 - Safina Plaza Junction (Cluster 3),715.3344220735072,0.30354541661674644,0.023849999074164307,0.45215352685184323,0.06838708851748698,5.958793655314083e-05,0.0072397736004347875
0,283,3,426,BTP051 - Safina Plaza Junction (Cluster 3),POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 426),1126.226987583734,0.15304167955341713,0.45215352685184323,0.03612825587886051,5.958793655314083e-05,0.0007929168090671273,0.06922576942696324
283,0,426,3,POLICE_STATION::Pulikeshinagar(F.Town) (Cluster 426),BTP051 - Safina Plaza Junction (Cluster 3),1126.226987583734,0.15304167955341713,0.03612825587886051,0.45215352685184323,0.0007929168090671273,5.958793655314083e-05,0.005529293693729231
0,289,3,755,BTP051 - Safina Plaza Junction (Cluster 3),BTP051 - Safina Plaza Junction (Cluster 755),861.8561865586205,0.23777582104229386,0.45215352685184323,0.030505187185559713,5.958793655314083e-05,0.8894913750917127,0.15532630801087083
289,0,755,3,BTP051 - Safina Plaza Junction (Cluster 755),BTP051 - Safina Plaza Junction (Cluster 3),861.8561865586205,0.23777582104229386,0.030505187185559713,0.45215352685184323,0.8894913750917127,5.958793655314083e-05,0.007253612036543531
