st_dbscan_cluster_id,records_total,peak_window_records,distinct_days,severity_sum,severity_mean,unique_vehicles,centroid_lat,centroid_lon,dominant_police_station,dominant_junction_name,unique_vehicle_types,dominant_vehicle_type,records_peak_hour,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour,growth_first_half_mean,growth_second_half_mean,growth_pct_change,growth_multiplier,lambda_hr_peak_window,lambda_hr_peak_hour,cluster_label,lat,lon,vehicle_width_avg_m,cluster_label_mu,gap_count_mu,median_dwell_minutes_mu,std_dwell_minutes_mu,blocking_vehicles_L,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,dominant_violation_tag,lat_key,lon_key,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,base_saturation_per_lane_pcu_hr,base_capacity_pcu_hr,blocked_width_fraction,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_speed_kmh,free_flow_time_min,V_over_C0,V_over_Cp,delay_minutes_per_vehicle,criticality_factor,stage5_rank,mappls_address,cluster_id,cluster_label_display,layer_c_rank,active_days,observation_days,ROP,TVS,VDI,cluster_area_m2,validation_uncertainty,validation_confidence,review_total,review_present,approved_count,resurgence_score,layer_c_index,ccs_score,layer_b_priority_boost,context_multiplier,persistence_score,anomaly_score,rop,tvs,vdi,nearby_sensitive_poi_count,road_node_distance_m,road_node_degree,road_node_betweenness,network_pagerank,spillover_out_score,spillover_in_score,spillover_total_score,propagation_radius_m,layer_b_alert_flag,context_boost,physical_hotspot_key,merged_cluster_ids,risk_band,road_node_id,source_pressure_score,source_pressure_norm,network_component_id,network_component_size,neighbor_count,in_neighbor_count,out_neighbor_count,influence_asymmetry,network_vulnerability_score,layer_d_alert_flag,road_node_betweenness_norm,road_node_degree_norm,road_node_distance_norm,growth_surge,layer_d_pressure_ccs_score_norm,layer_d_pressure_delay_minutes_per_vehicle_norm,layer_d_pressure_growth_surge_norm,layer_d_pressure_layer_b_priority_boost_norm,layer_d_pressure_context_boost_norm,layer_d_pressure_persistence_score_norm,layer_d_pressure_resurgence_score_norm,layer_d_pressure_validation_uncertainty_norm,layer_d_pressure_anomaly_score_norm,layer_d_pressure_rop_norm,layer_d_pressure_tvs_norm,layer_d_pressure_vdi_norm,layer_d_pressure_raw,layer_d_pressure_score,source_idx,layer_d_vulnerability_source_pressure_score_norm,layer_d_vulnerability_spillover_out_score_norm,layer_d_vulnerability_spillover_in_score_norm,layer_d_vulnerability_road_node_betweenness_norm,layer_d_vulnerability_network_pagerank_norm,layer_d_vulnerability_resurgence_score_norm,layer_d_vulnerability_validation_uncertainty_norm,layer_d_vulnerability_raw,layer_d_vulnerability_score,secondary_risk_score,network_rank,propagation_class
3,9287,6196,87,15028,1.618175944869172,7622,12.981962282368803,77.60773290754804,Shivajinagar,BTP051 - Safina Plaza Junction,19,SCOOTER,1798.0,386.0,90.65544041450777,65.0,94.00150441932404,0.6618466550379941,774.3333333333334,663.0,-0.1437795953506538,1.0,11.690566037735849,20.666666666666668,BTP051 - Safina Plaza Junction,12.981962282368803,77.60773290754804,1.3546462797458814,BTP051 - Safina Plaza Junction,386.0,65.0,94.00150441932404,17.663556854270393,842,109,['WRONG PARKING'],12.982,77.6077,osmnx,unclassified,2,7.0,177.03759097046907,4,4.795159784625067e-06,1650.0,3300.0,0.95,330.0,0.9000000000000303,30.0,0.3540751819409263,0.0035425957690097,0.0354259576900012,0.000165401058881,1.21432101214031,1,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",3,BTP051 - Safina Plaza Junction (Cluster 3),5,87.0,134,0.6492537313384384,0.5288695978625534,0.0078115803213857,1188875.953125,2.1538326677728042e-13,0.9999999999997846,9287,9287,9287,0.8210578348986654,0.3744309878742714,0.0,0.0,1.0,61.98303693794115,0.0,,,,0.0,43.3567073273941,3.0,3.7713609883271817e-06,0.0008420403433026325,2.874636840085268,0.4102706973833976,3.2849075374686656,773.9602132544329,False,0.0,btp051 - safina plaza junction|12.98196|77.60773,3,Watch,1567429298.0,45.21535268518432,0.45215352685184323,1.0,502.0,46.0,23.0,23.0,2.464366142701871,53.8249174056196,True,5.958793655314083e-05,0.2857142856734694,0.004847230315308335,0.0,,0.9999939541260444,0.0,,,0.6197874955028352,0.14094299134080288,9.243245302275909e-05,,,,,0.4521535268518432,45.21535268518432,0.0,0.9678834332603575,0.7247514263074959,0.2590254628982587,5.958793655314083e-05,0.3553761704146854,0.14094299134080288,9.243245302275909e-05,0.538249174056196,53.8249174056196,0.4102706973833976,18.0,Severe Propagator
2,21733,10074,87,34509,1.58786177702112,18627,12.973168894409923,77.5775477916929,Upparpet,BTP040 - Elite Junction,21,SCOOTER,2791.0,624.0,101.33173076923076,48.0,126.7815500341265,0.592114627313035,1792.0,1568.7142857142858,-0.1246014030611549,1.0,19.00754716981132,32.08045977011494,BTP040 - Elite Junction,12.973168894409923,77.5775477916929,1.3896056687986011,BTP040 - Elite Junction,624.0,48.0,126.7815500341265,32.101127486015336,1844,154,['WRONG PARKING'],12.9732,77.5775,osmnx,tertiary,2,7.0,64.13710759442279,5,0.0004823158368602,1700.0,3400.0,0.95,340.0,0.9000000000000294,35.0,0.1099493273047216,0.0055904550499428,0.0559045504992806,0.0001351019330269,1.2892646843688589,2,"AS Char Main Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",2,BTP040 - Elite Junction (Cluster 2),31,87.0,134,0.6492537313384384,0.296610219754194,0.0064127349131454,3389037.640625,9.2148511043888e-14,0.999999999999908,21733,21733,21733,0.6619268418341061,0.3305381202344173,0.0,0.0,1.0,99.99999999959672,0.0,,,,0.0,15.792653871387063,5.0,4.3999211530483786e-05,0.000768275118729726,2.3051019747680246,0.531253736250704,2.8363557110187285,837.7407013504891,False,0.0,btp040 - elite junction|12.97317|77.57755,2,Watch,429001096.0,46.66889260263542,0.46668892602635415,1.0,502.0,38.0,19.0,19.0,1.7738482385173207,52.720945946689426,True,0.0006951925931199764,0.5714285713469388,0.0017282794624237333,0.0,,0.8168092582456928,0.0,,,0.9999999999899989,0.10823074277323254,0.0,,,,,0.46668892602635415,46.66889260263542,1.0,0.9999999999779047,0.5811606950489776,0.33540841650743886,0.0006951925931199764,0.31510714934431483,0.10823074277323254,0.0,0.5272094594668942,52.720945946689426,0.531253736250704,25.0,Severe Propagator
32,3168,1486,82,5271,1.6638257575757576,2725,12.999462385332253,77.54999883660976,Malleshwaram,BTP027 - Modi Bridge Junction,17,SCOOTER,559.0,80.0,110.9,57.0,110.95467543100654,0.5410279531060321,276.3333333333333,215.7142857142857,-0.2193692917448548,1.0,2.8037735849056604,6.817073170731708,BTP027 - Modi Bridge Junction,12.999462385332253,77.54999883660976,1.3116161616161617,BTP027 - Modi Bridge Junction,80.0,57.0,110.95467543100654,5.182308166568727,244,20,['WRONG PARKING'],12.9995,77.55,osmnx,tertiary,2,7.0,215.80369731149315,3,6.33990924544388e-05,1700.0,3400.0,0.95,340.0,0.9000000000000294,35.0,0.3699491953911206,0.0008246392896778,0.0082463928967571,7.861453008364736e-06,1.143323832996868,3,"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",32,BTP027 - Modi Bridge Junction (Cluster 32),54,82.0,134,0.611940298502896,0.3417812916625749,0.0050096757442454,632376.2578125,6.31272811801864e-13,0.9999999999993688,3168,3168,3168,0.5600969864911673,0.3148092205190414,0.0,0.0,1.0,33.896251869582265,0.0,,,,0.0,13.36942663886182,3.0,8.221566954553255e-05,0.0012702151785523412,0.9872302179271815,0.9985770546011753,1.9858072725283566,743.455308685379,False,0.0,btp027 - modi bridge junction|12.99946|77.55,32,Watch,1109138338.0,9.95363927846373,0.09953639278463729,1.0,502.0,74.0,37.0,37.0,-0.011346836673993832,26.086334459374584,True,0.00129901701685847,0.2857142856734694,0.0014540844259179285,0.0,,0.04752935399686124,0.0,,,0.3388879697696938,0.08729777757627352,0.00040437116385452066,,,,,0.0995363927846373,9.95363927846373,2.0,0.18876126564360982,0.24889979094380546,0.6304541987943499,0.00129901701685847,0.5891202085072086,0.08729777757627352,0.00040437116385452066,0.2608633445937458,26.086334459374584,0.9985770546011753,199.0,Strong Propagator
19,2934,1677,86,4795,1.634287661895024,2620,13.010220852010905,77.55368339362644,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",18,CAR,518.0,68.0,58.86764705882353,21.5,79.85812869077935,1.019235573302696,281.5,177.85714285714286,-0.3681806648045789,1.0,3.1641509433962263,6.023255813953488,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.010220852010905,77.55368339362644,1.4985344239945466,"BTP001 - 10th Cross, Dr. Rajkumar Road",68.0,21.5,79.85812869077935,3.104435346618431,192,16,['WRONG PARKING'],13.0102,77.5537,osmnx,secondary,2,7.0,477.4568033850199,3,0.0135864898775471,1800.0,3600.0,0.6645861761869393,1207.4897657270187,0.6645861761870324,40.0,0.7161852050775119,0.0008789308176098,0.0026204370696993,1.2163104127733747e-06,1.242869317950409,4,"80 Feet Ring Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",19,"BTP001 - 10th Cross, Dr. Rajkumar Road (Cluster 19)",19,86.0,134,0.64179104477133,0.4222806228781144,0.004062239296865,722261.734375,6.816769371198461e-13,0.9999999999993184,2934,2934,2934,0.8964088397790055,0.3454355430253744,0.0,0.0,1.0,33.58749268533393,0.0,,,,0.0,101.41998309468764,3.0,0.0136340733905608,0.0013103511636326378,0.7960095284265905,0.8300473794287256,1.626056907855316,640.6329094547438,False,0.0,"btp001 - 10th cross, dr. rajkumar road|13.01022|77.55368",19,Watch,4912560016.0,10.069687162083799,0.10069687162083799,1.0,502.0,50.0,25.0,25.0,-0.03403785100213519,27.330424217739846,False,0.21541992470945112,0.2857142856734694,0.01141725470467142,0.0,,0.007353659446575935,0.0,,,0.335800029722087,0.15643275077730617,0.00044217686986563115,,,,,0.10069687162083799,10.069687162083799,3.0,0.19132539171401716,0.2006893646657698,0.5240525537291583,0.21541992470945112,0.6110307610505838,0.15643275077730617,0.00044217686986563115,0.27330424217739846,27.330424217739846,0.8300473794287256,186.0,Strong Propagator
133,1555,532,28,2343,1.5067524115755626,1140,12.933142299179336,77.69030409758925,HAL Old Airport,,15,SCOOTER,207.0,52.0,204.53846153846155,156.5,162.41263468500668,0.2933433621647937,274.6666666666667,243.66666666666663,-0.1128640776694921,1.0,1.0037735849056604,7.392857142857143,POLICE_STATION::HAL Old Airport,12.933142299179336,77.69030409758925,1.1289389067524116,POLICE_STATION::HAL Old Airport,52.0,156.5,162.41263468500668,3.421838401510938,241,19,['NO PARKING'],12.9331,77.6903,osmnx,primary,2,7.0,654.6255943453855,3,0.0007973803623064,1900.0,3800.0,0.5518637862190449,1702.9176123676295,0.5518637862191628,45.0,0.872834125793828,0.0002641509433961,0.0005894434220511,5.6886061146284417e-08,1.1487267784192838,5,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)",133,POLICE_STATION::HAL Old Airport (Cluster 133),167,28.0,134,0.2089552238790376,0.8801528255852532,0.00212879063558,730461.6875,1.2860823517257813e-12,0.999999999998714,1555,1555,1555,0.1354309165526676,0.2142759263837947,0.0,0.0,1.0,15.462122506583311,0.0,,,,0.0,132.93434658232508,3.0,0.0007538196343468,0.001360669977341771,0.3770893154599452,0.7558669005587202,1.1329562160186653,324.8265261756702,False,0.0,police_station::hal old airport|12.93314|77.6903,133,Watch,11428038817.0,3.1097906398603263,0.031097906398603263,2.0,76.0,46.0,23.0,23.0,-0.378777585098775,16.135113864733118,False,0.011910436758241204,0.2857142856734694,0.014983194345398004,0.0,,0.00034392595552399746,0.0,,,0.15452588693369124,0.0,0.0008955122520781539,,,,,0.031097906398603263,3.1097906398603263,4.0,0.03754359437941819,0.09507149404542034,0.4772185170800295,0.011910436758241204,0.6385002004947279,0.0,0.0008955122520781539,0.16135113864733117,16.135113864733118,0.7558669005587202,480.0,Moderate Propagator
35,1650,633,69,2485,1.506060606060606,1168,12.97446412018182,77.5454475259394,Vijayanagara,BTP020 - Hosahalli Metro Station,12,SCOOTER,200.0,49.0,159.46938775510205,107.0,158.87436983170403,0.3762477604276381,132.5,142.5,0.0754716981126379,1.075471698112638,1.1943396226415095,2.898550724637681,BTP020 - Hosahalli Metro Station,12.97446412018182,77.5454475259394,0.9072727272727272,BTP020 - Hosahalli Metro Station,49.0,107.0,158.87436983170403,3.174343464821414,249,31,['NO PARKING'],12.9745,77.5454,fallback,road,2,7.0,250.0,4,0.0,1600.0,3200.0,0.4114278931739221,1883.430741843449,0.4114278931741061,30.0,0.4999999999999833,0.0003732311320753,0.0006341298334505,3.1407638021532434e-08,1.214285714255102,6,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",35,BTP020 - Hosahalli Metro Station (Cluster 35),34,69.0,134,0.5149253731304857,0.577563992371758,0.006372772810951,258913.984375,1.212141498285746e-12,0.999999999998788,1650,1650,1650,0.927246790299572,0.3277911614401559,0.0,0.0,1.0,28.81105359002889,0.0,,,,0.0,72.16796198944634,6.0,0.0012073886492096,0.0014676318517504998,1.1174584256164788,0.841326513394058,1.9587849390105367,506.500919699104,False,0.0,btp020 - hosahalli metro station|12.97446|77.54545,35,Watch,683061159.0,9.054102402943734,0.09054102402943734,1.0,502.0,62.0,31.0,31.0,0.27613191222242084,26.272750116053217,True,0.019076879261032024,0.7142857141836735,0.00810730552319834,0.0754716981126379,,0.0001898866207229557,0.00119796346268533,,,0.2880302521096287,0.16277204825365602,0.0008400527802644985,,,,,0.09054102402943734,9.054102402943734,5.0,0.1688856256761895,0.28173283543560546,0.531173664047528,0.019076879261032024,0.6968915359679132,0.16277204825365602,0.0008400527802644985,0.2627275011605322,26.272750116053217,0.841326513394058,195.0,Strong Propagator
27,1394,727,56,2110,1.5136298421807748,1249,13.006679506671448,77.57050446886657,Malleshwaram,,11,CAR,230.0,48.0,97.5,61.5,92.87693470394036,0.6153846153783037,187.75,128.6,-0.315046604525619,1.0,1.3716981132075472,4.107142857142857,POLICE_STATION::Malleshwaram,13.006679506671448,77.57050446886657,1.5586800573888089,POLICE_STATION::Malleshwaram,48.0,61.5,92.87693470394036,2.2290094303629857,98,3,['WRONG PARKING'],13.0067,77.5705,osmnx,residential,2,7.0,88.95647933179158,7,0.0009770540339678,1500.0,3000.0,0.4963303637631492,1511.0089087105523,0.4963303637633171,30.0,0.1779129586635772,0.0004572327044023,0.0009078027967268,2.7150003689830805e-08,1.435763668744542,7,"East Park Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)",27,POLICE_STATION::Malleshwaram (Cluster 27),111,56.0,134,0.4179104477580753,0.4385857844104273,0.0055076628130744,253101.9140625,1.4346301924206273e-12,0.9999999999985654,1394,1394,1394,0.8074561403508772,0.262927102726661,0.0,0.0,1.0,19.845140938309704,0.0,,,,0.0,28.831624564777893,7.0,0.0008836047371584,0.001059278937264546,0.46716550823617603,0.7299875149431397,1.1971530231793157,343.1137855957116,False,0.0,police_station::malleshwaram|13.00668|77.5705,27,Watch,427593303.0,6.745152307109975,0.06745152307109975,1.0,502.0,28.0,14.0,14.0,-0.2628220067069637,18.132462286858196,False,0.01396105628148944,0.8571428570204082,0.0032036759903616772,0.0,,0.00016414550020422733,0.0,,,0.19836101422772082,0.13814691746217825,0.001006930830586669,,,,,0.06745152307109975,6.745152307109975,6.0,0.1178684166473727,0.11778144066566398,0.4608795002276172,0.01396105628148944,0.47396844161293594,0.13814691746217825,0.001006930830586669,0.18132462286858195,18.132462286858196,0.7299875149431397,393.0,Moderate Propagator
17,1387,555,42,2526,1.8211968276856525,1272,12.966594891041227,77.53792556985502,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",14,SCOOTER,197.0,29.0,68.65517241379311,20.0,127.68557174507548,0.8739326971243876,168.75,178.0,0.0548148148144899,1.05481481481449,1.0471698113207548,4.690476190476191,"BTP016 - 5th Main Road, RPC Layout",12.966594891041227,77.53792556985502,1.1694304253785148,"BTP016 - 5th Main Road, RPC Layout",29.0,20.0,127.68557174507548,1.198227064358805,93,2,['WRONG PARKING'],12.9666,77.5379,osmnx,residential,2,7.0,186.76623368595065,6,9.397225886647784e-05,1500.0,3000.0,0.2001775979104269,2399.467206268719,0.2001775979106935,30.0,0.3735324673718888,0.0003490566037734,0.0004364176382925,5.938607800475932e-09,1.357834600882491,8,"3rd A Main Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)",17,"BTP016 - 5th Main Road, RPC Layout (Cluster 17)",157,42.0,134,0.3134328358185565,0.4990096853154581,0.0026881705776992,515964.28125,1.4419576643831533e-12,0.999999999998558,1387,1387,1387,0.7804878048780488,0.2206784875878268,0.0,0.0,1.0,15.598907188268504,0.0,,,,0.0,61.611389713497424,6.0,9.58931387298658e-05,0.001230348448661967,0.4842671961946356,0.4633301844441741,0.9475973806388097,399.23153866777125,False,0.0,"btp016 - 5th main road, rpc layout|12.96659|77.53793",17,Watch,683067940.0,5.7985424635120655,0.05798542463512066,1.0,502.0,36.0,18.0,18.0,0.020937011750461476,15.797568943711623,False,0.001515122600091194,0.7142857141836735,0.006912799419219159,0.0548148148144899,,3.59040742337344e-05,0.0008700764260480513,,,0.1558938880103333,0.13260308922073138,0.001012426814279914,,,,,0.05798542463512066,5.7985424635120655,7.0,0.0969526799466488,0.12209310625323491,0.2925247068967114,0.001515122600091194,0.5673566445072706,0.13260308922073138,0.001012426814279914,0.15797568943711623,15.797568943711623,0.4633301844441741,498.0,Localized
15,616,182,54,708,1.1493506493506491,567,12.97346894589534,77.61694256760954,Halasur,BTP143 - ASC Junction,10,CAR,73.0,8.0,331.875,371.5,149.91117161506008,0.1807909604514326,83.75,56.2,-0.3289552238766691,1.0,0.3433962264150943,1.351851851851852,BTP143 - ASC Junction,12.97346894589534,77.61694256760954,1.7012987012987013,BTP143 - ASC Junction,8.0,371.5,149.91117161506008,1.8994103668581,29,2,['NO PARKING'],12.9735,77.6169,fallback,road,2,7.0,250.0,4,0.0,1600.0,3200.0,0.4616377699867625,1722.7591360423598,0.4616377699869307,30.0,0.4999999999999833,0.0001073113207546,0.0001993292151123,2.924957234452236e-09,1.214285714255102,9,"Mahatma Gandhi Road, Mittal Tower Apartments, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",15,BTP143 - ASC Junction (Cluster 15),132,54.0,134,0.4029850746238583,0.4569163584334888,0.0010865451513198,566934.5625,3.246736213213808e-12,0.9999999999967532,616,616,616,0.7808219178082192,0.2441828048443303,0.0,0.0,1.0,16.97759728477144,0.0,,,,0.0,54.17141302975673,3.0,0.001989669487815,0.0011695632660390207,0.46518103017675677,0.8853487978316253,1.3505298280083822,677.4608632934462,False,0.0,btp143 - asc junction|12.97347|77.61694,15,Watch,1274615225.0,6.071273879555732,0.06071273879555732,1.0,502.0,48.0,24.0,24.0,-0.4201677676548686,19.831303406529642,False,0.031437006313794646,0.2857142856734694,0.006070944948858685,0.0,,1.7683922765173212e-05,0.0,,,0.16968234380184133,0.13267177216558637,0.0023661042524222306,,,,,0.06071273879555732,6.071273879555732,8.0,0.10297879358424157,0.11728111544754098,0.558967246862495,0.031437006313794646,0.5341735312722463,0.13267177216558637,0.0023661042524222306,0.1983130340652964,19.831303406529642,0.8853487978316253,318.0,Strong Propagator
37,798,337,14,1232,1.543859649122807,766,12.97657935526316,77.57756462882205,Upparpet,BTP044 - Sagar Theatre Junction,16,CAR,92.0,4.0,181.25,89.0,193.0380467679882,0.3310344827567943,67.0,365.5,4.455223880530519,5.455223880530519,0.6358490566037736,6.571428571428571,BTP044 - Sagar Theatre Junction,12.97657935526316,77.57756462882205,1.4521303258145364,BTP044 - Sagar Theatre Junction,4.0,89.0,193.0380467679882,1.9207940193654311,30,0,['WRONG PARKING'],12.9766,77.5776,osmnx,tertiary,2,7.0,83.18813294372666,3,2.896405239035276e-05,1700.0,3400.0,0.3984633206807533,2045.2247096854387,0.3984633206809302,35.0,0.1426082279035273,0.0001870144284128,0.0003108944721781,1.931652538697757e-09,1.1430703515393337,10,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",37,BTP044 - Sagar Theatre Junction (Cluster 37),13,14.0,134,0.1044776119395188,1.1332492522576094,0.000980893925633,813543.625,2.5062174557888284e-12,0.9999999999974938,798,798,798,5.0,0.3571101745427495,0.0,0.0,1.0,5.461626193536352,0.0,,,,0.0,40.17206455127886,3.0,0.0002333718179576,0.0008002713676988812,1.2569767665655165,0.6601198742781687,1.9170966408436851,769.039376285283,False,0.0,btp044 - sagar theatre junction|12.97658|77.57756,37,Watch,429697055.0,22.52300682157619,0.22523006821576189,1.0,502.0,38.0,19.0,19.0,0.5968568922873478,35.53030952335992,True,0.0036873015139069956,0.2857142856734694,0.004486878949768055,4.455223880530519,,1.1678527775083511e-05,0.07071783940773672,,,0.05450964568023624,0.9999999997944319,0.0018106768094836691,,,,,0.22523006821576189,22.52300682157619,9.0,0.4664866493424886,0.31690810181668727,0.41676838510222664,0.0036873015139069956,0.33257415539454754,0.9999999997944319,0.0018106768094836691,0.35530309523359915,35.53030952335992,0.6601198742781687,111.0,Strong Propagator
