vehicle_number,total_violations,unique_hotspots,unique_junctions,first_seen,last_seen,vehicle_type_mode,approved_violations,active_days,repeat_violation_flag,chronic_offender_flag,approval_rate
FKN00GL4424,55,1,1,2023-11-16 05:14:46+00:00,2024-03-30 06:21:46+00:00,SCOOTER,11,40,1,1,0.19999999999636364
FKN00GL3514,42,1,1,2023-11-11 08:54:46+00:00,2024-03-14 09:47:46+00:00,PASSENGER AUTO,15,32,1,1,0.3571428571343538
FKN00GL17863,41,3,3,2023-11-13 03:11:46+00:00,2024-03-08 03:34:46+00:00,CAR,26,32,1,1,0.6341463414479477
FKN00GL9771,41,2,2,2023-11-09 23:51:46+00:00,2024-04-04 19:45:46+00:00,CAR,23,35,1,1,0.5609756097424152
FKN00GL2906,35,2,2,2023-11-28 07:16:46+00:00,2024-03-27 23:32:46+00:00,CAR,10,33,1,1,0.28571428570612245
FKN00GL15265,34,2,2,2023-11-12 04:24:46+00:00,2024-04-04 21:37:46+00:00,MOTOR CYCLE,23,26,1,1,0.676470588215398
FKN00GL14092,34,1,1,2023-11-16 00:02:46+00:00,2024-02-23 23:17:46+00:00,SCOOTER,13,23,1,1,0.38235294116522495
FKN00GL1875,30,1,1,2023-11-12 02:21:46+00:00,2024-03-15 05:24:46+00:00,MOTOR CYCLE,17,26,1,1,0.5666666666477778
FKN00GL19337,30,1,1,2024-01-04 03:05:46+00:00,2024-04-06 01:44:46+00:00,SCOOTER,5,19,1,1,0.1666666666611111
FKN00GL9852,29,2,2,2023-11-11 08:23:46+00:00,2024-03-30 09:30:46+00:00,PASSENGER AUTO,6,22,1,1,0.20689655171700358
FKN00GL1118,28,2,2,2023-11-19 00:10:46+00:00,2024-03-29 01:35:46+00:00,CAR,17,26,1,1,0.6071428571211734
FKN00GL1175,28,2,2,2023-11-10 21:02:46+00:00,2024-04-06 06:09:46+00:00,CAR,12,26,1,1,0.42857142855612246
FKN00GL15753,28,1,1,2023-11-11 04:12:46+00:00,2024-04-08 08:30:46+00:00,PASSENGER AUTO,8,24,1,1,0.28571428570408164
FKN00GL8564,27,1,1,2023-11-16 05:46:46+00:00,2024-04-01 05:49:46+00:00,SCOOTER,11,23,1,1,0.40740740739231823
FKN00GL8041,27,1,1,2023-12-27 03:57:46+00:00,2024-03-19 01:31:46+00:00,SCOOTER,0,18,1,1,0.0
FKN00GL0420,26,2,2,2023-11-15 03:24:46+00:00,2024-03-24 03:20:46+00:00,SCOOTER,12,24,1,1,0.46153846152071004
FKN00GL8361,26,2,2,2023-11-14 03:54:46+00:00,2024-03-25 06:17:46+00:00,SCOOTER,11,23,1,1,0.42307692306065087
FKN00GL20818,26,1,1,2024-01-04 03:13:46+00:00,2024-04-03 01:25:46+00:00,SCOOTER,2,19,1,1,0.07692307692011835
FKN00GL24601,26,1,1,2024-02-05 23:20:46+00:00,2024-04-08 01:46:46+00:00,MOTOR CYCLE,0,20,1,1,0.0
FKN00GL25480,25,2,2,2023-11-15 20:35:46+00:00,2024-04-06 04:11:46+00:00,SCOOTER,17,21,1,1,0.6799999999728
