st_dbscan_cluster_id,cluster_label,records,severity_sum,severity_mean,unique_vehicles,dominant_vehicle_type,dominant_police_station,dominant_junction_name,latitude_mean,longitude_mean,start_time_ist,end_time_ist
2,BTP040 - Elite Junction,21733,34509.0,1.5878617770211199,18627,SCOOTER,Upparpet,BTP040 - Elite Junction,12.973168894409925,77.5775477916929,2023-11-10 02:55:46+05:30,2024-02-04 07:58:46+05:30
3,BTP051 - Safina Plaza Junction,9287,15028.0,1.618175944869172,7622,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,12.981962282368805,77.60773290754804,2023-11-10 07:40:46+05:30,2024-02-04 06:11:46+05:30
32,BTP027 - Modi Bridge Junction,3168,5271.0,1.6638257575757576,2725,SCOOTER,Malleshwaram,BTP027 - Modi Bridge Junction,12.999462385332249,77.54999883660976,2023-11-10 04:19:46+05:30,2024-02-04 10:11:46+05:30
19,"BTP001 - 10th Cross, Dr. Rajkumar Road",2934,4795.0,1.634287661895024,2620,CAR,Malleshwaram,No Junction,13.010220852010908,77.55368339362644,2023-11-10 06:34:46+05:30,2024-02-04 10:58:46+05:30
35,BTP020 - Hosahalli Metro Station,1650,2485.0,1.506060606060606,1168,SCOOTER,Vijayanagara,BTP020 - Hosahalli Metro Station,12.97446412018182,77.5454475259394,2023-11-11 10:26:46+05:30,2024-01-25 12:42:46+05:30
133,POLICE_STATION::HAL Old Airport,1555,2343.0,1.5067524115755626,1140,SCOOTER,HAL Old Airport,No Junction,12.933142299179334,77.69030409758925,2023-12-26 08:28:46+05:30,2024-02-01 09:17:46+05:30
13,POLICE_STATION::Chikkajala,1423,2079.0,1.460997891777934,1367,CAR,Chikkajala,No Junction,13.185280326141953,77.67998198784258,2023-11-13 12:30:46+05:30,2024-02-01 11:55:46+05:30
27,POLICE_STATION::Malleshwaram,1394,2110.0,1.5136298421807748,1249,CAR,Malleshwaram,No Junction,13.006679506671452,77.57050446886657,2023-11-10 04:47:46+05:30,2024-01-05 06:24:46+05:30
17,"BTP016 - 5th Main Road, RPC Layout",1387,2526.0,1.8211968276856525,1272,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",12.966594891041225,77.53792556985502,2023-11-10 02:37:46+05:30,2023-12-25 05:16:46+05:30
5,POLICE_STATION::K.R. Pura,1058,1672.0,1.5803402646502835,974,CAR,K.R. Pura,No Junction,13.00849442925331,77.69530268616256,2023-11-10 07:45:46+05:30,2024-02-04 17:10:46+05:30
341,BTP032 - Windsor Circle,819,1426.0,1.7411477411477412,528,SCOOTER,High ground,BTP032 - Windsor Circle,12.992328987859812,77.5888701927762,2023-12-06 07:41:46+05:30,2024-01-07 08:00:46+05:30
37,BTP044 - Sagar Theatre Junction,798,1232.0,1.543859649122807,766,CAR,Upparpet,BTP044 - Sagar Theatre Junction,12.976579355263159,77.57756462882205,2024-03-08 08:55:46+05:30,2024-03-21 03:06:46+05:30
23,POLICE_STATION::Malleshwaram,700,1098.0,1.5685714285714285,671,CAR,Malleshwaram,No Junction,12.997535074571429,77.57106495900001,2023-11-10 11:15:46+05:30,2023-12-27 10:12:46+05:30
348,POLICE_STATION::HAL Old Airport,657,970.0,1.4764079147640792,561,SCOOTER,HAL Old Airport,No Junction,12.933367415041861,77.68994128087768,2023-12-06 05:11:46+05:30,2023-12-22 11:20:46+05:30
29,POLICE_STATION::Hebbala,621,700.0,1.1272141706924315,542,SCOOTER,Hebbala,No Junction,13.03533621900161,77.58903224975846,2023-11-10 08:46:46+05:30,2024-01-06 06:21:46+05:30
15,BTP143 - ASC Junction,616,708.0,1.1493506493506493,567,CAR,Halasur,No Junction,12.973468945895338,77.61694256760954,2023-11-27 05:07:46+05:30,2024-01-27 03:20:46+05:30
240,POLICE_STATION::HAL Old Airport,593,822.0,1.3861720067453627,553,MOTOR CYCLE,HAL Old Airport,No Junction,12.957646907944977,77.70153484887044,2023-11-10 04:10:46+05:30,2024-01-27 02:40:46+05:30
230,POLICE_STATION::Jeevanbheemanagar,515,673.0,1.3067961165048543,414,SCOOTER,Jeevanbheemanagar,No Junction,12.971777659360194,77.6580884973399,2023-12-14 04:44:46+05:30,2024-01-25 07:47:46+05:30
131,BTP108 - Tagore Park Junction,495,824.0,1.6646464646464647,472,SCOOTER,Basavanagudi,BTP108 - Tagore Park Junction,12.943914226702026,77.57132933553024,2023-12-19 03:51:46+05:30,2024-02-01 11:33:46+05:30
11,BTP032 - Windsor Circle,487,863.0,1.7720739219712525,333,SCOOTER,High ground,BTP032 - Windsor Circle,12.992327070020535,77.58879523408625,2023-11-14 06:25:46+05:30,2023-12-03 05:08:46+05:30
382,POLICE_STATION::Kodigehalli,411,769.0,1.8710462287104623,386,SCOOTER,Kodigehalli,No Junction,13.071194625790755,77.58817191459853,2023-12-02 11:21:46+05:30,2024-01-06 05:02:46+05:30
138,"BTP070 - Cholurpalya Junction, Magadi Road",400,423.0,1.0575,391,SCOOTER,Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12.973585622249997,77.55106776925,2024-01-10 11:58:46+05:30,2024-02-01 10:15:46+05:30
227,POLICE_STATION::HAL Old Airport,397,773.0,1.9471032745591939,373,MAXI-CAB,HAL Old Airport,No Junction,12.964865415365239,77.7177672,2024-01-10 03:13:46+05:30,2024-01-25 09:12:46+05:30
413,POLICE_STATION::Mahadevapura,396,703.0,1.7752525252525253,365,PASSENGER AUTO,Mahadevapura,No Junction,13.000211981228762,77.67687500649572,2023-12-13 04:40:46+05:30,2024-01-07 01:14:46+05:30
286,POLICE_STATION::Chikkajala,396,466.0,1.1767676767676767,388,CAR,Chikkajala,No Junction,13.191321278434344,77.64629431666667,2023-12-04 01:21:46+05:30,2024-01-24 06:49:46+05:30
174,POLICE_STATION::Malleshwaram,393,627.0,1.5954198473282444,382,CAR,Malleshwaram,No Junction,12.998461690839694,77.57099575419848,2024-01-10 05:38:46+05:30,2024-02-01 10:23:46+05:30
16,BTP063 - Siddalingaiah Circle,379,387.0,1.0211081794195251,352,CAR,Cubbon Park,BTP063 - Siddalingaiah Circle,12.971356912928758,77.59757005382585,2023-11-11 08:31:46+05:30,2023-12-27 07:24:46+05:30
