st_dbscan_cluster_id,cluster_label,records,core_points,noise_points,start_time_ist,end_time_ist,duration_days,latitude_mean,longitude_mean,unique_vehicles,dominant_vehicle_type,dominant_police_station,dominant_junction_name,severity_sum,severity_mean
2,BTP040 - Elite Junction,21733,21288,0,2023-11-10 02:55:46+05:30,2024-02-04 07:58:46+05:30,86.21041666666666,12.973168894409925,77.5775477916929,18627,SCOOTER,Upparpet,BTP040 - Elite Junction,34509.0,1.5878617770211199
3,BTP051 - Safina Plaza Junction,9287,9044,0,2023-11-10 07:40:46+05:30,2024-02-04 06:11:46+05:30,85.93819444444445,12.981962282368805,77.60773290754804,7622,SCOOTER,Shivajinagar,BTP051 - Safina Plaza Junction,15028.0,1.618175944869172
32,BTP027 - Modi Bridge Junction,3168,3065,0,2023-11-10 04:19:46+05:30,2024-02-04 10:11:46+05:30,86.24444444444444,12.999462385332249,77.54999883660976,2725,SCOOTER,Malleshwaram,BTP027 - Modi Bridge Junction,5271.0,1.6638257575757576
19,"BTP001 - 10th Cross, Dr. Rajkumar Road",2934,2852,0,2023-11-10 06:34:46+05:30,2024-02-04 10:58:46+05:30,86.18333333333334,13.010220852010908,77.55368339362644,2620,CAR,Malleshwaram,No Junction,4795.0,1.634287661895024
35,BTP020 - Hosahalli Metro Station,1650,1607,0,2023-11-11 10:26:46+05:30,2024-01-25 12:42:46+05:30,75.09444444444445,12.97446412018182,77.5454475259394,1168,SCOOTER,Vijayanagara,BTP020 - Hosahalli Metro Station,2485.0,1.506060606060606
133,POLICE_STATION::HAL Old Airport,1555,1497,0,2023-12-26 08:28:46+05:30,2024-02-01 09:17:46+05:30,37.03402777777778,12.933142299179334,77.69030409758925,1140,SCOOTER,HAL Old Airport,No Junction,2343.0,1.5067524115755626
13,POLICE_STATION::Chikkajala,1423,1357,0,2023-11-13 12:30:46+05:30,2024-02-01 11:55:46+05:30,79.97569444444444,13.185280326141953,77.67998198784258,1367,CAR,Chikkajala,No Junction,2079.0,1.460997891777934
27,POLICE_STATION::Malleshwaram,1394,1349,0,2023-11-10 04:47:46+05:30,2024-01-05 06:24:46+05:30,56.06736111111111,13.006679506671452,77.57050446886657,1249,CAR,Malleshwaram,No Junction,2110.0,1.5136298421807748
17,"BTP016 - 5th Main Road, RPC Layout",1387,1326,0,2023-11-10 02:37:46+05:30,2023-12-25 05:16:46+05:30,45.110416666666666,12.966594891041225,77.53792556985502,1272,SCOOTER,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",2526.0,1.8211968276856525
5,POLICE_STATION::K.R. Pura,1058,963,0,2023-11-10 07:45:46+05:30,2024-02-04 17:10:46+05:30,86.39236111111111,13.00849442925331,77.69530268616256,974,CAR,K.R. Pura,No Junction,1672.0,1.5803402646502835
