id,st_dbscan_cluster_id,canonical_vehicle_number,canonical_vehicle_type,service_date,created_datetime_ist,created_datetime_ist_naive,prev_created_datetime_ist,gap_minutes,gap_hours,latitude,longitude,junction_name,police_station,severity_score,hotspot_unit
FKID159809,2,FKN00GL0395,SCOOTER,2023-11-16,2023-11-16 09:39:46+05:30,2023-11-16 09:39:46,2023-11-16 03:58:46,341.0,5.683333333333334,12.973365,77.579275,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID148880,2,FKN00GL0397,SCOOTER,2023-11-12,2023-11-12 10:38:46+05:30,2023-11-12 10:38:46,2023-11-12 05:48:46,290.0,4.833333333333333,12.9728345,77.5786927,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID130733,2,FKN00GL0425,CAR,2023-11-30,2023-11-30 08:45:46+05:30,2023-11-30 08:45:46,2023-11-30 07:05:46,100.0,1.6666666666666667,12.9789228,77.5750073,BTP057 - Anand Rao Junction,Upparpet,2,JUNCTION::BTP057 - Anand Rao Junction
FKID000433,2,FKN00GL0425,CAR,2023-11-30,2023-11-30 09:34:46+05:30,2023-11-30 09:34:46,2023-11-30 08:45:46,49.0,0.8166666666666667,12.9795826,77.5749527,BTP057 - Anand Rao Junction,Upparpet,1,JUNCTION::BTP057 - Anand Rao Junction
FKID148994,2,FKN00GL0651,SCOOTER,2023-11-12,2023-11-12 11:10:46+05:30,2023-11-12 11:10:46,2023-11-12 05:20:46,350.0,5.833333333333333,12.9727417,77.5787032,BTP044 - Sagar Theatre Junction,City Market,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID001008,2,FKN00GL1001,LGV,2023-11-30,2023-11-30 04:23:46+05:30,2023-11-30 04:23:46,2023-11-30 03:55:46,28.0,0.4666666666666667,12.964951,77.5737164,"BTP083 - AS Char Street, Mysore Road",Chamarajpet,1,"JUNCTION::BTP083 - AS Char Street, Mysore Road"
FKID182584,2,FKN00GL100448,OTHERS,2023-11-23,2023-11-23 09:49:46+05:30,2023-11-23 09:49:46,2023-11-23 05:51:46,238.0,3.966666666666667,12.9738705,77.5783188,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID148872,2,FKN00GL101957,SCOOTER,2023-11-12,2023-11-12 10:47:46+05:30,2023-11-12 10:47:46,2023-11-12 10:28:46,19.0,0.31666666666666665,12.9729002,77.5790538,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID148922,2,FKN00GL101957,SCOOTER,2023-11-12,2023-11-12 11:06:46+05:30,2023-11-12 11:06:46,2023-11-12 10:47:46,19.0,0.31666666666666665,12.9725404,77.5793044,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID159420,2,FKN00GL103474,SCOOTER,2023-12-08,2023-12-08 08:41:46+05:30,2023-12-08 08:41:46,2023-12-08 06:35:46,126.0,2.1,12.9783348,77.5752896,BTP057 - Anand Rao Junction,Upparpet,2,JUNCTION::BTP057 - Anand Rao Junction
FKID169590,2,FKN00GL103474,SCOOTER,2023-12-08,2023-12-08 09:27:46+05:30,2023-12-08 09:27:46,2023-12-08 08:41:46,46.0,0.7666666666666667,12.9784209,77.5752211,BTP057 - Anand Rao Junction,Upparpet,2,JUNCTION::BTP057 - Anand Rao Junction
FKID155578,2,FKN00GL103618,PASSENGER AUTO,2023-11-11,2023-11-11 04:17:46+05:30,2023-11-11 04:17:46,2023-11-11 03:23:46,54.0,0.9,12.9771796,77.5756043,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID161859,2,FKN00GL103618,PASSENGER AUTO,2023-11-11,2023-11-11 04:48:46+05:30,2023-11-11 04:48:46,2023-11-11 04:17:46,31.0,0.5166666666666667,12.9775246,77.5755533,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID144232,2,FKN00GL103618,PASSENGER AUTO,2023-11-21,2023-11-21 06:08:46+05:30,2023-11-21 06:08:46,2023-11-21 05:37:46,31.0,0.5166666666666667,12.9773666,77.5755845,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID151686,2,FKN00GL10449,CAR,2023-12-08,2023-12-08 02:25:46+05:30,2023-12-08 02:25:46,2023-12-08 01:27:46,58.0,0.9666666666666667,12.977737,77.5794883,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID287075,2,FKN00GL104702,SCOOTER,2023-12-25,2023-12-25 13:13:46+05:30,2023-12-25 13:13:46,2023-12-25 08:37:46,276.0,4.6,12.9760038,77.577327,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID131863,2,FKN00GL104796,CAR,2023-12-01,2023-12-01 09:04:46+05:30,2023-12-01 09:04:46,2023-12-01 08:34:46,30.0,0.5,12.977845,77.574025,BTP045 - Danvanthri Road Junction,Upparpet,1,JUNCTION::BTP045 - Danvanthri Road Junction
FKID011107,2,FKN00GL10493,PASSENGER AUTO,2024-01-28,2024-01-28 11:19:46+05:30,2024-01-28 11:19:46,2024-01-28 11:03:46,16.0,0.26666666666666666,12.9740084,77.5784494,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID219241,2,FKN00GL105238,MOTOR CYCLE,2023-12-31,2023-12-31 06:39:46+05:30,2023-12-31 06:39:46,2023-12-31 06:22:46,17.0,0.2833333333333333,12.9772268,77.5764817,BTP040 - Elite Junction,Upparpet,1,JUNCTION::BTP040 - Elite Junction
FKID011165,2,FKN00GL10547,MOTOR CYCLE,2024-01-28,2024-01-28 10:32:46+05:30,2024-01-28 10:32:46,2024-01-28 10:24:46,8.0,0.13333333333333333,12.9730046,77.5790562,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011168,2,FKN00GL10550,SCOOTER,2024-01-28,2024-01-28 10:31:46+05:30,2024-01-28 10:31:46,2024-01-28 10:24:46,7.0,0.11666666666666667,12.972905,77.5790167,BTP044 - Sagar Theatre Junction,Upparpet,1,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011177,2,FKN00GL10559,MOPED,2024-01-28,2024-01-28 10:24:46+05:30,2024-01-28 10:24:46,2024-01-28 10:13:46,11.0,0.18333333333333332,12.9729893,77.5790545,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011179,2,FKN00GL10560,MOTOR CYCLE,2024-01-28,2024-01-28 10:24:46+05:30,2024-01-28 10:24:46,2024-01-28 10:11:46,13.0,0.21666666666666667,12.9730176,77.5790738,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
FKID011182,2,FKN00GL10563,MOPED,2024-01-28,2024-01-28 10:23:46+05:30,2024-01-28 10:23:46,2024-01-28 10:09:46,14.0,0.23333333333333334,12.9733987,77.5791352,BTP044 - Sagar Theatre Junction,Upparpet,2,JUNCTION::BTP044 - Sagar Theatre Junction
