st_dbscan_cluster_id,records_total,peak_window_records,distinct_days,severity_sum,severity_mean,unique_vehicles,centroid_lat,centroid_lon,dominant_police_station,dominant_junction_name,unique_vehicle_types,dominant_vehicle_type,records_peak_hour,gap_count,mean_dwell_minutes,median_dwell_minutes,std_dwell_minutes,mu_departures_per_hour,growth_first_half_mean,growth_second_half_mean,growth_pct_change,growth_multiplier,lambda_hr_peak_window,lambda_hr_peak_hour,cluster_label,lat,lon,vehicle_width_avg_m,cluster_label_mu,gap_count_mu,median_dwell_minutes_mu,std_dwell_minutes_mu,blocking_vehicles_L,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,dominant_violation_tag,lat_key,lon_key,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality,base_saturation_per_lane_pcu_hr,base_capacity_pcu_hr,blocked_width_fraction,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_speed_kmh,free_flow_time_min,V_over_C0,V_over_Cp,delay_minutes_per_vehicle,criticality_factor,stage5_rank,mappls_address
3,9287,6196,87,15028,1.618175944869172,7622,12.981962282368805,77.60773290754804,Shivajinagar,BTP051 - Safina Plaza Junction,19,SCOOTER,1798.0,386.0,90.65544041450777,65.0,94.00150441932405,0.6618466550379941,774.3333333333334,663.0,-0.1437795953506538,1.0,11.690566037735849,20.666666666666668,BTP051 - Safina Plaza Junction,12.981962282368805,77.60773290754804,1.3546462797458814,BTP051 - Safina Plaza Junction,386.0,65.0,94.00150441932404,17.663556854270393,842,109,['WRONG PARKING'],12.982,77.6077,osmnx,unclassified,2,7.0,177.03759097046907,4,4.795159784625067e-06,1650.0,3300.0,0.95,330.0,0.9000000000000303,30.0,0.35407518194092635,0.00354259576900979,0.03542595769000128,0.00016540105888102953,1.21432101214031,1,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
2,21733,10074,87,34509,1.5878617770211199,18627,12.973168894409925,77.5775477916929,Upparpet,BTP040 - Elite Junction,21,SCOOTER,2791.0,624.0,101.33173076923077,48.0,126.7815500341265,0.592114627313035,1792.0,1568.7142857142858,-0.12460140306115493,1.0,19.00754716981132,32.08045977011494,BTP040 - Elite Junction,12.973168894409925,77.5775477916929,1.3896056687986011,BTP040 - Elite Junction,624.0,48.0,126.7815500341265,32.101127486015336,1844,154,['WRONG PARKING'],12.9732,77.5775,osmnx,tertiary,2,7.0,64.13710759442279,5,0.00048231583686024086,1700.0,3400.0,0.95,340.0,0.9000000000000294,35.0,0.10994932730472165,0.005590455049942862,0.05590455049928064,0.00013510193302695647,1.2892646843688587,2,"AS Char Main Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
32,3168,1486,82,5271,1.6638257575757576,2725,12.999462385332253,77.54999883660976,Malleshwaram,BTP027 - Modi Bridge Junction,17,SCOOTER,559.0,80.0,110.9,57.0,110.95467543100654,0.5410279531060321,276.3333333333333,215.71428571428572,-0.21936929174485487,1.0,2.8037735849056604,6.817073170731708,BTP027 - Modi Bridge Junction,12.999462385332253,77.54999883660976,1.3116161616161615,BTP027 - Modi Bridge Junction,80.0,57.0,110.95467543100654,5.182308166568727,244,20,['WRONG PARKING'],12.9995,77.55,osmnx,tertiary,2,7.0,215.80369731149315,3,6.33990924544388e-05,1700.0,3400.0,0.95,340.0,0.9000000000000294,35.0,0.3699491953911206,0.0008246392896778928,0.0082463928967571,7.861453008364736e-06,1.143323832996868,3,"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
19,2934,1677,86,4795,1.634287661895024,2620,13.010220852010905,77.55368339362644,Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",18,CAR,518.0,68.0,58.86764705882353,21.5,79.85812869077935,1.019235573302696,281.5,177.85714285714286,-0.3681806648045789,1.0,3.1641509433962263,6.023255813953488,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.010220852010905,77.55368339362644,1.4985344239945466,"BTP001 - 10th Cross, Dr. Rajkumar Road",68.0,21.5,79.85812869077935,3.104435346618431,192,16,['WRONG PARKING'],13.0102,77.5537,osmnx,secondary,2,7.0,477.4568033850199,3,0.013586489877547105,1800.0,3600.0,0.6645861761869393,1207.4897657270187,0.6645861761870324,40.0,0.7161852050775119,0.0008789308176098187,0.002620437069699302,1.2163104127733747e-06,1.242869317950409,4,"80 Feet Ring Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
133,1555,532,28,2343,1.5067524115755626,1140,12.933142299179337,77.69030409758925,HAL Old Airport,,15,SCOOTER,207.0,52.0,204.53846153846155,156.5,162.41263468500668,0.29334336216479373,274.6666666666667,243.66666666666666,-0.1128640776694921,1.0,1.0037735849056604,7.392857142857143,POLICE_STATION::HAL Old Airport,12.933142299179337,77.69030409758925,1.1289389067524116,POLICE_STATION::HAL Old Airport,52.0,156.5,162.41263468500668,3.421838401510938,241,19,['NO PARKING'],12.9331,77.6903,osmnx,primary,2,7.0,654.6255943453855,3,0.0007973803623064114,1900.0,3800.0,0.5518637862190449,1702.9176123676295,0.5518637862191628,45.0,0.872834125793828,0.0002641509433961569,0.000589443422051104,5.688606114628441e-08,1.1487267784192838,5,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)"
35,1650,633,69,2485,1.506060606060606,1168,12.97446412018182,77.5454475259394,Vijayanagara,BTP020 - Hosahalli Metro Station,12,SCOOTER,200.0,49.0,159.46938775510205,107.0,158.87436983170403,0.3762477604276381,132.5,142.5,0.07547169811263796,1.075471698112638,1.1943396226415095,2.898550724637681,BTP020 - Hosahalli Metro Station,12.97446412018182,77.5454475259394,0.9072727272727272,BTP020 - Hosahalli Metro Station,49.0,107.0,158.87436983170403,3.174343464821414,249,31,['NO PARKING'],12.9745,77.5454,fallback,road,2,7.0,250.0,4,0.0,1600.0,3200.0,0.41142789317392214,1883.4307418434491,0.4114278931741061,30.0,0.49999999999998335,0.00037323113207535507,0.0006341298334505729,3.1407638021532434e-08,1.214285714255102,6,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
27,1394,727,56,2110,1.5136298421807748,1249,13.006679506671448,77.57050446886657,Malleshwaram,,11,CAR,230.0,48.0,97.5,61.5,92.87693470394035,0.6153846153783037,187.75,128.6,-0.315046604525619,1.0,1.3716981132075472,4.107142857142857,POLICE_STATION::Malleshwaram,13.006679506671448,77.57050446886657,1.5586800573888089,POLICE_STATION::Malleshwaram,48.0,61.5,92.87693470394036,2.2290094303629857,98,3,['WRONG PARKING'],13.0067,77.5705,osmnx,residential,2,7.0,88.95647933179158,7,0.0009770540339678997,1500.0,3000.0,0.4963303637631492,1511.0089087105523,0.4963303637633171,30.0,0.17791295866357723,0.00045723270440236333,0.0009078027967268596,2.7150003689830805e-08,1.4357636687445419,7,"East Park Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
17,1387,555,42,2526,1.8211968276856525,1272,12.966594891041229,77.53792556985502,Vijayanagara,"BTP016 - 5th Main Road, RPC Layout",14,SCOOTER,197.0,29.0,68.65517241379311,20.0,127.68557174507549,0.8739326971243876,168.75,178.0,0.05481481481448999,1.05481481481449,1.0471698113207548,4.690476190476191,"BTP016 - 5th Main Road, RPC Layout",12.966594891041229,77.53792556985502,1.1694304253785148,"BTP016 - 5th Main Road, RPC Layout",29.0,20.0,127.68557174507548,1.198227064358805,93,2,['WRONG PARKING'],12.9666,77.5379,osmnx,residential,2,7.0,186.76623368595062,6,9.397225886647783e-05,1500.0,3000.0,0.20017759791042697,2399.467206268719,0.20017759791069356,30.0,0.3735324673718888,0.0003490566037734686,0.00043641763829259215,5.938607800475932e-09,1.357834600882491,8,"3rd A Main Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
15,616,182,54,708,1.1493506493506493,567,12.97346894589534,77.61694256760954,Halasur,BTP143 - ASC Junction,10,CAR,73.0,8.0,331.875,371.5,149.91117161506008,0.18079096045143264,83.75,56.2,-0.32895522387666914,1.0,0.3433962264150943,1.3518518518518519,BTP143 - ASC Junction,12.97346894589534,77.61694256760954,1.7012987012987013,BTP143 - ASC Junction,8.0,371.5,149.91117161506008,1.8994103668581002,29,2,['NO PARKING'],12.9735,77.6169,fallback,road,2,7.0,250.0,4,0.0,1600.0,3200.0,0.46163776998676254,1722.7591360423598,0.46163776998693073,30.0,0.49999999999998335,0.00010731132075468344,0.00019932921511231586,2.924957234452236e-09,1.214285714255102,9,"Mahatma Gandhi Road, Mittal Tower Apartments, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
37,798,337,14,1232,1.543859649122807,766,12.976579355263159,77.57756462882205,Upparpet,BTP044 - Sagar Theatre Junction,16,CAR,92.0,4.0,181.25,89.0,193.0380467679882,0.3310344827567943,67.0,365.5,4.455223880530519,5.455223880530519,0.6358490566037736,6.571428571428571,BTP044 - Sagar Theatre Junction,12.976579355263159,77.57756462882205,1.4521303258145364,BTP044 - Sagar Theatre Junction,4.0,89.0,193.0380467679882,1.9207940193654311,30,0,['WRONG PARKING'],12.9766,77.5776,osmnx,tertiary,2,7.0,83.18813294372666,3,2.8964052390352757e-05,1700.0,3400.0,0.3984633206807533,2045.2247096854387,0.39846332068093027,35.0,0.14260822790352734,0.00018701442841281957,0.000310894472178198,1.9316525386977573e-09,1.1430703515393337,10,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
