stage5_rank,st_dbscan_cluster_id,cluster_label,records_total,lambda_hr_peak_window,mean_dwell_minutes,mu_departures_per_hour,blocking_vehicles_L,road_class,lane_count,carriageway_width_m,link_length_m,base_capacity_pcu_hr,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_time_min,delay_minutes_per_vehicle,junction_degree,betweenness_centrality,criticality_factor,growth_pct_change,growth_multiplier,vehicle_width_avg_m,dominant_vehicle_type,unique_vehicles,unique_vehicle_types,geometry_source,centroid_lat,centroid_lon
1,2,JUNCTION::BTP040 - Elite Junction (Cluster 2),21733,23.158620689655173,101.33173076923077,0.592114627313035,39.1117185461796,road,2,7.0,250.0,3199.999999542857,2603.7043291315417,0.18634239703041067,0.49999999999998335,0.10878485315072114,4,0.0,1.0,-0.12460140306115493,1.0,1.3896056687986011,SCOOTER,18627,21,fallback,12.973168894409925,77.5775477916929
2,3,JUNCTION::BTP051 - Safina Plaza Junction (Cluster 3),9287,14.24367816091954,90.65544041450777,0.6618466550379941,21.521115247731743,road,2,7.0,250.0,3199.999999542857,2880.1444709705956,0.09995485269339222,0.49999999999998335,0.0496265994133761,4,0.0,1.0,-0.1437795953506538,1.0,1.3546462797458814,SCOOTER,7622,19,fallback,12.981962282368805,77.60773290754804
3,507,POLICE_STATION::HSR Layout (Cluster 507),65,13.0,94.4,0.635593220338983,20.453333301153425,road,2,7.0,250.0,3199.999999542857,2915.181714358062,0.0890057141332482,0.49999999999998335,0.043349565233421955,4,0.0,1.0,0.0,1.0,1.2692307692307692,SCOOTER,65,4,fallback,12.909785066153846,77.64451709846153
4,145,"JUNCTION::BTP016 - 5th Main Road, RPC Layout (Cluster 145)",298,2.176470588235294,486.0,0.12345679012320276,17.62941162194392,road,2,7.0,250.0,3199.999999542857,2955.888596254115,0.07628481353891847,0.49999999999998335,0.03634617697010743,4,0.0,1.0,0.08391608391491026,1.0839160839149102,1.2620805369127517,SCOOTER,271,12,fallback,12.965104991610739,77.53820424395974
5,37,JUNCTION::BTP044 - Sagar Theatre Junction (Cluster 37),798,4.814285714285714,181.25,0.3310344827567943,14.54315471805255,road,2,7.0,250.0,3199.999999542857,2968.2992709332516,0.0724064777011354,0.49999999999998335,0.03427035021913115,4,0.0,1.0,4.455223880530519,5.455223880530519,1.4521303258145364,CAR,766,16,fallback,12.976579355263159,77.57756462882205
6,355,POLICE_STATION::Kodigehalli (Cluster 355),80,4.533333333333333,274.0,0.21897810218898184,20.70222212775763,road,2,7.0,250.0,3199.999999542857,2987.062857718189,0.06654285683000649,0.49999999999998335,0.031182863157398006,4,0.0,1.0,-0.8888888888765432,1.0,0.9375,SCOOTER,79,5,fallback,13.05385348625,77.59275450875
7,589,JUNCTION::BTP010 - Rajajinagar Entrance (Cluster 589),31,1.5333333333333334,459.5,0.1305767138190847,11.742777687873229,road,2,7.0,250.0,3199.999999542857,2998.85108808352,0.06285903484031552,0.49999999999998335,0.029273894867544854,4,0.0,1.0,0.0,1.0,1.5612903225806452,CAR,29,4,fallback,12.985633374193547,77.56007472580644
8,408,JUNCTION::BTP208 - Havanur Circle (Cluster 408),36,1.8666666666666667,348.0,0.17241379310295285,10.82666660390311,road,2,7.0,250.0,3199.999999542857,3002.026667413764,0.061866666299472906,0.49999999999998335,0.028763640572312222,4,0.0,1.0,15.999999992,16.999999992,1.6666666666666667,CAR,35,3,fallback,12.987071429845605,77.53745029195002
9,717,POLICE_STATION::HAL Old Airport (Cluster 717),205,2.7,195.0,0.3076923076907298,8.774999971526249,road,2,7.0,250.0,3199.999999542857,3037.601717189389,0.05074946324300533,0.49999999999998335,0.023160655374767906,4,0.0,1.0,0.0,1.0,1.686829268292683,MAXI-CAB,203,8,fallback,12.962452163414634,77.71727016780487
10,133,POLICE_STATION::HAL Old Airport (Cluster 133),1555,3.8,204.53846153846155,0.29334336216479373,12.954102520005693,road,2,7.0,250.0,3199.999999542857,3039.549545606779,0.050140766862484254,0.49999999999998335,0.022859770605749636,4,0.0,1.0,-0.1128640776694921,1.0,1.1289389067524116,SCOOTER,1140,15,fallback,12.933142299179337,77.69030409758925
