st_dbscan_cluster_id,cluster_label,geometry_source,road_class,lane_count,carriageway_width_m,link_length_m,junction_degree,betweenness_centrality
3,BTP051 - Safina Plaza Junction,osmnx,unclassified,2,7.0,177.03759097046907,4,4.795159784625067e-06
2,BTP040 - Elite Junction,osmnx,tertiary,2,7.0,64.13710759442279,5,0.00048231583686024086
32,BTP027 - Modi Bridge Junction,osmnx,tertiary,2,7.0,215.80369731149315,3,6.33990924544388e-05
19,"BTP001 - 10th Cross, Dr. Rajkumar Road",osmnx,secondary,2,7.0,477.4568033850199,3,0.013586489877547105
133,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,654.6255943453855,3,0.0007973803623064114
35,BTP020 - Hosahalli Metro Station,fallback,road,2,7.0,250.0,4,0.0
27,POLICE_STATION::Malleshwaram,osmnx,residential,2,7.0,88.95647933179158,7,0.0009770540339678997
17,"BTP016 - 5th Main Road, RPC Layout",osmnx,residential,2,7.0,186.76623368595062,6,9.397225886647783e-05
15,BTP143 - ASC Junction,fallback,road,2,7.0,250.0,4,0.0
37,BTP044 - Sagar Theatre Junction,osmnx,tertiary,2,7.0,83.18813294372666,3,2.8964052390352757e-05
13,POLICE_STATION::Chikkajala,osmnx,residential,2,7.0,32.21333224576199,4,6.436456086745057e-06
145,"BTP016 - 5th Main Road, RPC Layout",osmnx,tertiary,2,7.0,55.04857105680446,8,0.0006984520322531398
23,POLICE_STATION::Malleshwaram,osmnx,residential,2,7.0,75.12089377734061,4,9.223441572305667e-05
382,POLICE_STATION::Kodigehalli,osmnx,secondary,2,9.0,312.5093325877144,6,0.000491198146259949
348,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,288.58821164634935,3,0.0007973803623064114
286,POLICE_STATION::Chikkajala,osmnx,residential,2,7.0,113.78832329278389,2,0.0
131,BTP108 - Tagore Park Junction,osmnx,tertiary,2,7.0,147.22934632398545,6,0.01733434171001745
123,BTP042 - Minsk Square Junction (CTO),osmnx,residential,2,7.0,123.74213174435968,6,4.956071186793694e-06
74,BTP051 - Safina Plaza Junction,osmnx,unclassified,2,7.0,91.07788523570986,4,2.233450262100535e-05
16,BTP063 - Siddalingaiah Circle,osmnx,residential,2,7.0,136.84936500803127,8,0.000652978470000286
29,POLICE_STATION::Hebbala,osmnx,tertiary,3,10.5,161.88384932494859,4,0.003065265664471032
56,BTP027 - Modi Bridge Junction,osmnx,tertiary,2,7.0,215.80369731149315,6,0.002146268464405573
290,POLICE_STATION::Kodigehalli,osmnx,secondary,2,9.0,312.5093325877144,6,0.000491198146259949
646,POLICE_STATION::K.R. Pura,osmnx,tertiary,2,7.0,819.2947925320815,6,0.00019450970294143563
473,POLICE_STATION::HAL Old Airport,osmnx,residential,2,7.0,57.16978007414944,6,0.00012760274191972074
55,BTP108 - Tagore Park Junction,osmnx,tertiary,2,7.0,147.22934632398545,6,0.0019134618477480044
91,POLICE_STATION::Kodigehalli,osmnx,secondary,2,9.0,312.5093325877144,6,0.000491198146259949
20,BTP082 - KR Market Junction,osmnx,residential,2,7.0,223.7564041556953,6,0.0597797122854599
230,POLICE_STATION::Jeevanbheemanagar,osmnx,unclassified,2,7.0,37.2838595266391,4,4.344607858552913e-05
366,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,residential,2,7.0,160.09582655892333,4,7.75271135648442e-05
355,POLICE_STATION::Kodigehalli,osmnx,residential,2,7.0,364.710740821767,6,0.01963572876611358
174,POLICE_STATION::Malleshwaram,osmnx,residential,2,7.0,82.65380380843382,4,0.0005312007208390695
240,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,37.4506938966808,4,0.0010040549672517953
341,BTP032 - Windsor Circle,osmnx,residential,2,7.0,124.98632531789193,6,9.384352974474293e-05
5,POLICE_STATION::K.R. Pura,osmnx,trunk,2,7.0,73.58149560752852,4,0.0024823158366945324
128,BTP020 - Hosahalli Metro Station,fallback,road,2,7.0,250.0,4,0.0
11,BTP032 - Windsor Circle,osmnx,residential,2,7.0,124.98632531789193,6,9.384352974474293e-05
80,BTP020 - Hosahalli Metro Station,fallback,road,2,7.0,250.0,4,0.0
227,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,20.4388642681544,4,4.103240755299974e-05
342,"BTP070 - Cholurpalya Junction, Magadi Road",osmnx,residential,2,7.0,117.90088085945987,6,0.01222945965849821
717,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,149.65647009053245,4,0.0003242042930893485
9,POLICE_STATION::K.R. Pura,osmnx,tertiary,2,7.0,819.2947925320815,6,0.0001690213368379252
138,"BTP070 - Cholurpalya Junction, Magadi Road",osmnx,residential,2,7.0,117.90088085945987,6,0.01222945965849821
244,BTP048 - Shanthala Junction,osmnx,primary,2,7.0,515.5257102177723,4,0.03197010265882574
484,"BTP070 - Cholurpalya Junction, Magadi Road",osmnx,residential,2,7.0,117.90088085945987,6,0.012186560678680056
83,"BTP001 - 10th Cross, Dr. Rajkumar Road",osmnx,secondary,2,7.0,477.4568033850199,3,0.013586489877547105
7,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,654.6255943453855,4,0.00019454188522186934
46,BTP091 - Sirsi Circle,osmnx,residential,2,7.0,134.00617692056778,6,0.00013513339554121248
223,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,645.9230443888042,2,0.0
90,POLICE_STATION::R.T. Nagar,osmnx,tertiary,2,7.0,41.25892648592,8,0.0007238760337957828
595,BTP061 - Bhashyam Circle,osmnx,residential,2,7.0,142.9923229233958,6,2.7483667490401392e-05
406,POLICE_STATION::Jnanabharathi,osmnx,secondary,2,7.0,89.08410999914251,4,0.00897138995194873
132,BTP061 - Bhashyam Circle,osmnx,residential,2,7.0,142.9923229233958,6,0.000705113764302921
363,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,645.9230443888042,6,1.2872912173490114e-05
151,POLICE_STATION::Hebbala,osmnx,tertiary,3,10.5,161.88384932494859,4,0.003065265664471032
550,POLICE_STATION::HAL Old Airport,osmnx,residential,2,7.0,27.563381754451342,2,0.0
575,POLICE_STATION::R.T. Nagar,osmnx,residential,2,7.0,57.81065396780868,6,1.596241109512774e-05
130,POLICE_STATION::HAL Old Airport,osmnx,primary,2,7.0,654.6255943453855,6,1.2872912173490114e-05
549,BTP042 - Minsk Square Junction (CTO),osmnx,residential,2,7.0,123.74213174435968,6,4.956071186793694e-06
410,POLICE_STATION::K.R. Pura,osmnx,tertiary,2,7.0,819.2947925320815,6,0.00019450970294143563
232,BTP032 - Windsor Circle,osmnx,residential,2,7.0,124.98632531789193,6,9.384352974474293e-05
119,BTP135 - UCO Bank Junction,osmnx,tertiary,2,7.0,348.93247723829813,4,0.0001798667653440906
34,BTP220 - Puttanna Junction,osmnx,secondary,2,7.0,43.6370275393122,5,0.0019474463358860182
413,POLICE_STATION::Mahadevapura,fallback,road,2,7.0,250.0,4,0.0
299,POLICE_STATION::Mahadevapura,osmnx,trunk,3,10.5,128.363778357975,3,0.04697892060242176
257,"BTP189 - New Diagonal Road, Jayanagar",osmnx,tertiary,2,7.0,116.95146687450143,8,0.00011669294885268788
89,BTP211 - Central Street Junction,osmnx,tertiary,2,7.0,174.52086557581785,6,0.0013528465225925098
239,BTP137 - Madiwala Traffic PS Junction,osmnx,primary,2,7.0,209.8164526252711,4,0.018772632187161502
250,POLICE_STATION::Jalahalli,osmnx,tertiary,2,7.0,710.2869173095183,6,0.002625880989709381
67,BTP100 - Richmond Circle,osmnx,residential,2,7.0,107.63479630521667,7,0.0019269140409693014
219,BTP023 - Mahalaxmi Layout Entrance,osmnx,residential,2,7.0,279.636773096363,4,8.695652173192571e-05
589,BTP010 - Rajajinagar Entrance,osmnx,secondary,2,7.0,499.8370626139274,2,0.0
226,POLICE_STATION::HAL Old Airport,osmnx,tertiary,2,7.0,45.4387774222795,3,0.015057348822490085
221,POLICE_STATION::K.R. Pura,osmnx,trunk,2,7.0,844.4283790025211,6,0.0001690213368379252
1,POLICE_STATION::Byatarayanapura,osmnx,secondary,2,7.0,1696.356320419458,6,5.107327904832203e-05
638,POLICE_STATION::HSR Layout,osmnx,tertiary,2,7.0,125.94768718207852,8,0.004109451935423683
728,"BTP148 - 17th Main, Doopanahalli Bus Stop",osmnx,primary,2,7.0,263.1016813251571,6,5.11698258896232e-05
658,"BTP189 - New Diagonal Road, Jayanagar",osmnx,tertiary,2,7.0,116.95146687450143,8,0.004051556012923411
357,"BTP163 - 16th Main Road, BTM Layout",osmnx,tertiary,2,7.0,126.97088752356137,4,0.00018028513498972906
544,POLICE_STATION::HSR Layout,osmnx,tertiary,2,7.0,125.94768718207852,6,0.0005654426672205532
690,BTP042 - Minsk Square Junction (CTO),osmnx,residential,2,7.0,161.82105428267127,6,4.956071186793694e-06
624,POLICE_STATION::Rajajinagar,fallback,road,2,7.0,250.0,4,0.0
369,POLICE_STATION::Cubbon Park,osmnx,unclassified,2,5.5,399.7833041664922,5,3.2986837444568416e-05
41,"BTP024 - NPS, Vijayanagar",osmnx,residential,2,7.0,214.65447576254377,4,0.0019893476650107286
259,POLICE_STATION::Bellandur,osmnx,secondary,2,7.0,336.8214930326555,2,0.0
99,BTP023 - Mahalaxmi Layout Entrance,osmnx,residential,2,7.0,279.636773096363,4,3.179609306852058e-05
