st_dbscan_cluster_id,cluster_label,stage5_rank,records_total,distinct_days,peak_window_records,records_peak_hour,lambda_hr_peak_window,lambda_hr_peak_hour,mean_dwell_minutes,mu_departures_per_hour,blocking_vehicles_L,road_class,lane_count,carriageway_width_m,base_saturation_per_lane_pcu_hr,base_capacity_pcu_hr,reduced_capacity_pcu_hr,capacity_loss_pct,free_flow_time_min,delay_minutes_per_vehicle,growth_first_half_mean,growth_second_half_mean,growth_pct_change,growth_multiplier,criticality_factor,dominant_vehicle_type,dominant_violation_tag,geometry_source,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,unique_vehicles,unique_vehicle_types,centroid_lat,centroid_lon,mappls_address
3,BTP051 - Safina Plaza Junction,1,9287,87,6196,1798.0,11.690566037735849,20.666666666666668,90.65544041450777,0.6618466550379941,17.663556854270393,unclassified,2,7.0,1650.0,3300.0,330.0,0.9000000000000303,0.35407518194092635,0.00016540105888102953,774.3333333333334,663.0,-0.1437795953506538,1.0,1.21432101214031,SCOOTER,['WRONG PARKING'],osmnx,842,109,7622,19,12.981962282368805,77.60773290754804,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)"
2,BTP040 - Elite Junction,2,21733,87,10074,2791.0,19.00754716981132,32.08045977011494,101.33173076923077,0.592114627313035,32.101127486015336,tertiary,2,7.0,1700.0,3400.0,340.0,0.9000000000000294,0.10994932730472165,0.00013510193302695647,1792.0,1568.7142857142858,-0.12460140306115493,1.0,1.2892646843688587,SCOOTER,['WRONG PARKING'],osmnx,1844,154,18627,21,12.973168894409925,77.5775477916929,"AS Char Main Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)"
32,BTP027 - Modi Bridge Junction,3,3168,82,1486,559.0,2.8037735849056604,6.817073170731708,110.9,0.5410279531060321,5.182308166568727,tertiary,2,7.0,1700.0,3400.0,340.0,0.9000000000000294,0.3699491953911206,7.861453008364736e-06,276.3333333333333,215.71428571428572,-0.21936929174485487,1.0,1.143323832996868,SCOOTER,['WRONG PARKING'],osmnx,244,20,2725,17,12.999462385332253,77.54999883660976,"Chord Road, Block 1, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
19,"BTP001 - 10th Cross, Dr. Rajkumar Road",4,2934,86,1677,518.0,3.1641509433962263,6.023255813953488,58.86764705882353,1.019235573302696,3.104435346618431,secondary,2,7.0,1800.0,3600.0,1207.4897657270187,0.6645861761870324,0.7161852050775119,1.2163104127733747e-06,281.5,177.85714285714286,-0.3681806648045789,1.0,1.242869317950409,CAR,['WRONG PARKING'],osmnx,192,16,2620,18,13.010220852010905,77.55368339362644,"80 Feet Ring Road, Phoenix Kessaku, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)"
133,POLICE_STATION::HAL Old Airport,5,1555,28,532,207.0,1.0037735849056604,7.392857142857143,204.53846153846155,0.29334336216479373,3.421838401510938,primary,2,7.0,1900.0,3800.0,1702.9176123676295,0.5518637862191628,0.872834125793828,5.688606114628441e-08,274.6666666666667,243.66666666666666,-0.1128640776694921,1.0,1.1487267784192838,SCOOTER,['NO PARKING'],osmnx,241,19,1140,15,12.933142299179337,77.69030409758925,"New Horizon College Road, Embassy Tech Village, Devara Beesana Halli, Bengaluru, Karnataka. Pin-560103 (India)"
35,BTP020 - Hosahalli Metro Station,6,1650,69,633,200.0,1.1943396226415095,2.898550724637681,159.46938775510205,0.3762477604276381,3.174343464821414,road,2,7.0,1600.0,3200.0,1883.4307418434491,0.4114278931741061,0.49999999999998335,3.1407638021532434e-08,132.5,142.5,0.07547169811263796,1.075471698112638,1.214285714255102,SCOOTER,['NO PARKING'],fallback,249,31,1168,12,12.97446412018182,77.5454475259394,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)"
27,POLICE_STATION::Malleshwaram,7,1394,56,727,230.0,1.3716981132075472,4.107142857142857,97.5,0.6153846153783037,2.2290094303629857,residential,2,7.0,1500.0,3000.0,1511.0089087105523,0.4963303637633171,0.17791295866357723,2.7150003689830805e-08,187.75,128.6,-0.315046604525619,1.0,1.4357636687445419,CAR,['WRONG PARKING'],osmnx,98,3,1249,11,13.006679506671448,77.57050446886657,"East Park Road, Malleshwara Extension, Malleshwaram West, Bengaluru, Karnataka. Pin-560055 (India)"
17,"BTP016 - 5th Main Road, RPC Layout",8,1387,42,555,197.0,1.0471698113207548,4.690476190476191,68.65517241379311,0.8739326971243876,1.198227064358805,residential,2,7.0,1500.0,3000.0,2399.467206268719,0.20017759791069356,0.3735324673718888,5.938607800475932e-09,168.75,178.0,0.05481481481448999,1.05481481481449,1.357834600882491,SCOOTER,['WRONG PARKING'],osmnx,93,2,1272,14,12.966594891041229,77.53792556985502,"3rd A Main Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)"
15,BTP143 - ASC Junction,9,616,54,182,73.0,0.3433962264150943,1.3518518518518519,331.875,0.18079096045143264,1.8994103668581002,road,2,7.0,1600.0,3200.0,1722.7591360423598,0.46163776998693073,0.49999999999998335,2.924957234452236e-09,83.75,56.2,-0.32895522387666914,1.0,1.214285714255102,CAR,['NO PARKING'],fallback,29,2,567,10,12.97346894589534,77.61694256760954,"Mahatma Gandhi Road, Mittal Tower Apartments, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)"
37,BTP044 - Sagar Theatre Junction,10,798,14,337,92.0,0.6358490566037736,6.571428571428571,181.25,0.3310344827567943,1.9207940193654311,tertiary,2,7.0,1700.0,3400.0,2045.2247096854387,0.39846332068093027,0.14260822790352734,1.9316525386977573e-09,67.0,365.5,4.455223880530519,5.455223880530519,1.1430703515393337,CAR,['WRONG PARKING'],osmnx,30,0,766,16,12.976579355263159,77.57756462882205,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)"
13,POLICE_STATION::Chikkajala,11,1423,78,483,132.0,0.9113207547169812,1.6923076923076923,62.31578947368421,0.962837837822387,0.9464945372645361,residential,2,7.0,1500.0,3000.0,2230.993380339191,0.25633553988718427,0.06442666449152183,1.1004758521392887e-09,93.66666666666667,143.5,0.5320284697452096,1.5320284697452096,1.2143330939667907,CAR,['NO PARKING'],osmnx,53,0,1367,9,13.185280326141953,77.67998198784258,
145,"BTP016 - 5th Main Road, RPC Layout",12,298,17,185,73.0,0.3490566037735849,4.294117647058823,486.0,0.12345679012320276,2.8273584676702517,tertiary,2,7.0,1700.0,3400.0,1666.799440828301,0.5097648703447615,0.09436897895451925,6.535962111787391e-10,71.5,77.5,0.08391608391491026,1.0839160839149102,1.5051414093424658,SCOOTER,['WRONG PARKING'],osmnx,13,3,271,12,12.965104991610739,77.53820424395974,
23,POLICE_STATION::Malleshwaram,13,700,46,406,122.0,0.7660377358490567,2.652173913043478,41.1,1.4598540145630206,0.5247358487099271,residential,2,7.0,1500.0,3000.0,2646.2209490713326,0.11792635030984977,0.1502417875546762,6.195068502456558e-10,94.0,81.0,-0.13829787233895427,1.0,1.2149646655236004,CAR,['WRONG PARKING'],osmnx,25,1,671,12,12.997535074571429,77.571064959,
382,POLICE_STATION::Kodigehalli,14,411,24,353,99.0,0.6660377358490566,4.125,56.8,1.0563380281504167,0.6305157226846525,secondary,2,9.0,1800.0,3600.0,3311.9570995666268,0.08001191678730368,0.46876399888155995,6.194816320119207e-10,38.666666666666664,98.33333333333333,1.5431034482359545,2.5431034482359545,1.3607586397893565,SCOOTER,['WRONG PARKING'],osmnx,21,0,386,8,13.071194625790755,77.58817191459855,
348,POLICE_STATION::HAL Old Airport,15,657,14,218,144.0,0.41132075471698115,10.285714285714286,82.89583333333333,0.7237999497273832,0.568279611381051,tertiary,2,7.0,1700.0,3400.0,3041.5081161349417,0.10543878937233908,0.4947226485365848,3.6600464620718257e-10,229.0,214.0,-0.0655021834058275,1.0,1.1487267784192838,SCOOTER,['NO PARKING'],osmnx,67,2,561,16,12.933367415041863,77.68994128087768,
286,POLICE_STATION::Chikkajala,16,396,43,139,43.0,0.2622641509433962,1.0,220.0,0.2727272727260331,0.9616352166041612,residential,2,7.0,1500.0,3000.0,2228.922584545194,0.2570258051518497,0.22757664658556018,2.784182048173909e-10,64.75,34.25,-0.47104247103519625,1.0,1.0714285714183673,CAR,['NO PARKING'],osmnx,6,0,388,11,13.191321278434344,77.64629431666667,
131,BTP108 - Tagore Park Junction,17,495,42,256,70.0,0.4830188679245283,1.6666666666666667,80.16666666666667,0.7484407484314123,0.6453668754560411,tertiary,2,7.0,1700.0,3400.0,3029.7326288929817,0.10890216797291452,0.252393165126825,2.728117751433511e-10,55.666666666666664,82.0,0.473053892207071,1.473053892207071,1.4847435276261398,SCOOTER,['WRONG PARKING'],osmnx,19,0,472,9,12.943914226702026,77.57132933553025,
123,BTP042 - Minsk Square Junction (CTO),18,333,20,176,59.0,0.3320754716981132,2.95,187.84615384615384,0.3194103194086191,1.0396516658362562,residential,2,7.0,1500.0,3000.0,2570.759003407175,0.14308033219789396,0.2474842634887111,2.2044274531802959e-10,71.0,95.5,0.3450704225303511,1.3450704225303511,1.357179339469837,SCOOTER,['WRONG PARKING'],osmnx,43,6,245,7,12.981368157657657,77.59847802402403,
74,BTP051 - Safina Plaza Junction,19,314,16,246,88.0,0.4641509433962264,5.5,69.5,0.8633093525055638,0.5376415088189301,unclassified,2,7.0,1650.0,3300.0,2983.8212963534315,0.09581172837802199,0.18215577047141365,1.6570317684034812e-10,40.0,137.0,2.4249999999393754,3.4249999999393754,1.2144501218546617,SCOOTER,['WRONG PARKING'],osmnx,5,0,309,10,12.981843999681528,77.60897611878981,
16,BTP063 - Siddalingaiah Circle,20,379,43,191,57.0,0.360377358490566,1.3255813953488371,44.4,1.3513513513209157,0.26667924509168245,residential,2,7.0,1500.0,3000.0,2814.359883239743,0.061880038920398395,0.2736987300160534,1.0857028548429083e-10,62.5,32.25,-0.483999999992256,1.0,1.5048066716793855,CAR,['NO PARKING'],osmnx,20,0,352,11,12.971356912928758,77.59757005382586,
29,POLICE_STATION::Hebbala,21,621,51,231,60.0,0.4358490566037736,1.1764705882352942,129.65625,0.46276211134856393,0.9418425687267181,tertiary,3,10.5,1700.0,5100.0,4587.284045451428,0.1005325401077396,0.27751517027133255,9.288663445053321e-11,56.0,79.4,0.41785714284968123,1.4178571428496811,1.236849591251149,SCOOTER,['NO PARKING'],osmnx,66,0,542,7,13.03533621900161,77.58903224975846,
56,BTP027 - Modi Bridge Junction,22,265,9,144,77.0,0.27169811320754716,8.555555555555555,94.4,0.635593220338983,0.4274716974406521,tertiary,2,7.0,1700.0,3400.0,3143.010007052446,0.07558529204367015,0.3699491953911206,7.731607747529808e-11,7.0,129.0,17.428571426081632,18.428571426081632,1.3729418588529774,SCOOTER,['WRONG PARKING'],osmnx,10,0,255,7,12.999429728679246,77.5503542664151,
290,POLICE_STATION::Kodigehalli,23,135,8,119,59.0,0.22452830188679246,7.375,251.66666666666666,0.23841059602554276,0.9417714845231355,secondary,2,9.0,1800.0,3600.0,3254.5442673451566,0.09595992573770762,0.46876399888155995,7.61889347748671e-11,7.0,128.0,17.285714283244896,18.285714283244896,1.3607586397893565,SCOOTER,['WRONG PARKING'],osmnx,7,1,124,5,13.071124075555556,77.58794889925926,
646,POLICE_STATION::K.R. Pura,24,139,11,88,31.0,0.1660377358490566,2.8181818181818183,94.4,0.635593220338983,0.2612327039915096,tertiary,2,7.0,1700.0,3400.0,3208.8517616575277,0.056220070101004715,1.4045053586263854,7.437981830690327e-11,19.0,60.0,2.1578947367285317,3.1578947367285317,1.358574671979068,CAR,['WRONG PARKING'],osmnx,0,0,139,10,13.005555866330935,77.68554430352519,
