st_dbscan_cluster_id,vehicle_type,count,share
1,CAR,6,0.13636363636363635
1,LGV,1,0.022727272727272728
1,MOTOR CYCLE,17,0.38636363636363635
1,SCOOTER,20,0.45454545454545453
2,BUS (BMTC/KSRTC),24,0.001104311415819261
2,CAR,6202,0.2853724750379607
2,GOODS AUTO,401,0.018451203239313485
2,HGV,38,0.0017484930750471632
2,JEEP,99,0.004555284590254452
2,LGV,1068,0.049141858003957116
2,LORRY/GOODS VEHICLE,33,0.0015184281967514839
2,MAXI-CAB,509,0.023420604610500162
2,MINI LORRY,13,0.0005981686835687664
2,MOPED,260,0.011963373671375328
2,MOTOR CYCLE,2385,0.10974094694703906
2,OTHERS,46,0.0021165968803202504
2,PASSENGER AUTO,3108,0.1430083283485943
2,PRIVATE BUS,174,0.008006257764689642
2,SCHOOL VEHICLE,6,0.00027607785395481523
2,SCOOTER,7135,0.3283025813279345
2,TANKER,2,9.202595131827176e-05
2,TEMPO,43,0.0019785579533428427
2,TOURIST BUS,24,0.001104311415819261
2,TRACTOR,2,9.202595131827176e-05
2,VAN,161,0.007408089081120876
3,BUS (BMTC/KSRTC),2,0.0002153547970281038
3,CAR,2181,0.2348444061591472
3,GOODS AUTO,36,0.0038763863465058686
3,HGV,1,0.0001076773985140519
3,JEEP,10,0.001076773985140519
3,LGV,88,0.009475611069236568
3,LORRY/GOODS VEHICLE,12,0.0012921287821686229
3,MAXI-CAB,131,0.014105739205340799
3,MINI LORRY,1,0.0001076773985140519
3,MOPED,24,0.0025842575643372457
3,MOTOR CYCLE,894,0.0962635942715624
3,OTHERS,4,0.0004307095940562076
3,PASSENGER AUTO,2867,0.3087111015397868
3,SCHOOL VEHICLE,1,0.0001076773985140519
3,SCOOTER,3016,0.3247550339183805
3,TANKER,1,0.0001076773985140519
3,TEMPO,6,0.0006460643910843114
3,TOURIST BUS,1,0.0001076773985140519
3,VAN,11,0.001184451383654571
4,CAR,62,0.27312775330396477
4,GOODS AUTO,2,0.00881057268722467
4,LGV,1,0.004405286343612335
4,MOTOR CYCLE,27,0.11894273127753303
4,PASSENGER AUTO,20,0.0881057268722467
4,SCHOOL VEHICLE,1,0.004405286343612335
4,SCOOTER,113,0.4977973568281938
4,TEMPO,1,0.004405286343612335
5,BUS (BMTC/KSRTC),8,0.007561436672967864
5,CAR,288,0.2722117202268431
5,GOODS AUTO,28,0.026465028355387523
5,HGV,4,0.003780718336483932
5,JEEP,6,0.005671077504725898
5,LGV,34,0.03213610586011342
5,LORRY/GOODS VEHICLE,10,0.00945179584120983
5,MAXI-CAB,18,0.017013232514177693
5,MINI LORRY,1,0.000945179584120983
5,MOPED,3,0.002835538752362949
5,MOTOR CYCLE,127,0.12003780718336483
