vehicle_number,total_violations,unique_clusters,unique_hotspots,first_seen,last_seen,dominant_vehicle_type,chronic_offender_flag
FKN00GL17863,26,1,1,2023-11-13 08:41:46+05:30,2024-01-20 09:56:46+05:30,CAR,1
FKN00GL9771,23,2,2,2023-11-10 05:21:46+05:30,2024-03-16 01:28:46+05:30,CAR,1
FKN00GL15265,23,1,2,2023-11-12 09:54:46+05:30,2024-01-25 10:08:46+05:30,MOTOR CYCLE,1
FKN00GL17388,18,4,3,2023-11-15 05:05:46+05:30,2024-01-20 07:46:46+05:30,SCOOTER,1
FKN00GL1118,17,2,2,2023-11-19 05:40:46+05:30,2024-03-15 06:01:46+05:30,CAR,1
FKN00GL1875,17,2,1,2023-11-18 08:16:46+05:30,2024-03-15 10:54:46+05:30,MOTOR CYCLE,1
FKN00GL25480,17,1,2,2023-11-16 02:05:46+05:30,2024-01-21 09:48:46+05:30,SCOOTER,1
FKN00GL2819,16,5,1,2023-12-08 04:34:46+05:30,2024-02-01 08:06:46+05:30,SCOOTER,1
FKN00GL18794,16,1,2,2023-11-13 04:17:46+05:30,2024-01-20 04:19:46+05:30,CAR,1
FKN00GL104980,15,4,2,2023-11-14 12:34:46+05:30,2024-01-06 04:13:46+05:30,SCOOTER,1
FKN00GL7998,15,4,1,2023-11-14 02:19:46+05:30,2024-03-15 04:06:46+05:30,CAR,1
FKN00GL12905,15,3,1,2023-12-02 07:16:46+05:30,2024-01-16 02:51:46+05:30,MAXI-CAB,1
FKN00GL3514,15,2,1,2023-11-11 14:24:46+05:30,2024-03-14 15:17:46+05:30,PASSENGER AUTO,1
FKN00GL111727,15,1,1,2023-11-14 11:10:46+05:30,2024-01-01 09:44:46+05:30,MOTOR CYCLE,1
FKN00GL6353,14,4,1,2023-11-14 12:30:46+05:30,2024-02-01 08:06:46+05:30,SCOOTER,1
FKN00GL9990,14,4,2,2023-11-14 06:26:46+05:30,2024-01-30 04:10:46+05:30,SCOOTER,1
FKN00GL11705,14,3,1,2023-11-14 06:30:46+05:30,2024-01-25 03:34:46+05:30,SCOOTER,1
FKN00GL22956,14,3,2,2023-11-16 01:59:46+05:30,2024-01-19 02:18:46+05:30,SCOOTER,1
FKN00GL0930,14,2,1,2023-11-11 04:43:46+05:30,2024-01-15 08:17:46+05:30,PASSENGER AUTO,1
FKN00GL14092,13,4,1,2023-11-16 05:32:46+05:30,2024-01-19 04:24:46+05:30,SCOOTER,1
FKN00GL2996,13,4,2,2023-11-22 03:55:46+05:30,2024-01-30 04:01:46+05:30,SCOOTER,1
FKN00GL0889,13,3,1,2023-12-16 05:58:46+05:30,2024-03-16 03:53:46+05:30,SCOOTER,1
FKN00GL6946,13,3,2,2023-11-14 06:27:46+05:30,2024-01-25 03:24:46+05:30,SCOOTER,1
FKN00GL11475,13,2,1,2023-11-11 03:09:46+05:30,2024-03-11 04:57:46+05:30,CAR,1
FKN00GL6860,13,2,1,2023-11-16 04:04:46+05:30,2024-03-16 01:29:46+05:30,CAR,1
FKN00GL9182,13,2,2,2023-11-17 05:59:46+05:30,2024-03-10 10:14:46+05:30,SCOOTER,1
FKN00GL0734,13,1,1,2023-11-16 06:32:46+05:30,2023-12-29 05:03:46+05:30,CAR,1
FKN00GL10831,13,1,1,2023-11-17 07:16:46+05:30,2024-01-27 05:48:46+05:30,SCOOTER,1
FKN00GL32407,13,1,1,2023-11-11 06:21:46+05:30,2024-01-19 07:25:46+05:30,CAR,1
FKN00GL6355,12,7,1,2023-11-17 08:19:46+05:30,2024-03-15 06:20:46+05:30,MOTOR CYCLE,1
FKN00GL1199,12,6,1,2023-11-14 12:33:46+05:30,2024-03-15 06:19:46+05:30,MOTOR CYCLE,1
FKN00GL0635,12,5,1,2023-12-16 10:44:46+05:30,2024-03-15 05:24:46+05:30,SCOOTER,1
FKN00GL1048,12,5,1,2023-12-01 03:24:46+05:30,2024-03-15 05:32:46+05:30,SCOOTER,1
FKN00GL9526,12,5,1,2023-12-20 04:38:46+05:30,2024-02-01 05:00:46+05:30,SCOOTER,1
FKN00GL101845,12,4,1,2023-11-14 10:16:46+05:30,2023-12-30 08:34:46+05:30,SCOOTER,1
FKN00GL2993,12,4,1,2023-11-16 02:01:46+05:30,2024-01-30 04:02:46+05:30,SCOOTER,1
FKN00GL0420,12,3,1,2023-11-15 08:54:46+05:30,2024-03-13 05:04:46+05:30,SCOOTER,1
FKN00GL0333,12,1,1,2023-11-11 10:38:46+05:30,2023-12-31 07:40:46+05:30,SCOOTER,1
FKN00GL113054,12,1,1,2023-11-15 05:53:46+05:30,2023-11-22 11:52:46+05:30,MOTOR CYCLE,1
FKN00GL1175,12,1,1,2023-11-11 02:32:46+05:30,2024-01-16 10:05:46+05:30,CAR,1
FKN00GL18450,12,1,2,2023-11-15 09:24:46+05:30,2024-01-13 05:42:46+05:30,SCOOTER,1
FKN00GL19357,12,1,1,2023-11-11 03:17:46+05:30,2024-01-31 02:03:46+05:30,CAR,1
FKN00GL53263,12,1,1,2023-11-15 00:57:46+05:30,2024-01-21 00:59:46+05:30,CAR,1
FKN00GL58024,12,1,1,2023-11-15 05:54:46+05:30,2023-12-14 09:45:46+05:30,SCOOTER,1
FKN00GL6780,12,1,1,2023-12-12 04:57:46+05:30,2024-01-16 05:37:46+05:30,CAR,1
FKN00GL94778,12,1,1,2023-11-17 05:19:46+05:30,2023-12-25 08:36:46+05:30,SCOOTER,1
FKN00GL9334,11,7,1,2023-11-21 05:54:46+05:30,2024-02-01 08:07:46+05:30,SCOOTER,1
FKN00GL4424,11,4,1,2023-11-19 11:24:46+05:30,2024-01-31 12:43:46+05:30,SCOOTER,1
FKN00GL0088,11,3,1,2023-11-15 03:36:46+05:30,2024-01-30 04:20:46+05:30,SCOOTER,1
FKN00GL0395,11,2,1,2023-11-16 03:58:46+05:30,2024-03-11 05:51:46+05:30,SCOOTER,1
FKN00GL2850,11,2,1,2023-11-17 09:58:46+05:30,2024-02-01 08:31:46+05:30,MOTOR CYCLE,1
FKN00GL2863,11,2,1,2023-12-07 04:33:46+05:30,2024-02-01 08:40:46+05:30,SCOOTER,1
FKN00GL6855,11,2,1,2023-12-07 08:54:46+05:30,2024-01-25 07:46:46+05:30,SCOOTER,1
FKN00GL8361,11,2,2,2023-12-03 06:29:46+05:30,2024-03-18 08:25:46+05:30,SCOOTER,1
FKN00GL11015,11,1,1,2023-11-17 07:22:46+05:30,2024-01-27 02:33:46+05:30,SCOOTER,1
FKN00GL113789,11,1,1,2023-11-11 11:50:46+05:30,2024-01-14 11:04:46+05:30,MOTOR CYCLE,1
FKN00GL122435,11,1,1,2023-11-11 11:49:46+05:30,2024-01-01 08:32:46+05:30,SCOOTER,1
FKN00GL123587,11,1,1,2023-11-11 08:40:46+05:30,2024-01-01 08:29:46+05:30,SCOOTER,1
FKN00GL2317,11,1,1,2023-11-13 02:50:46+05:30,2024-01-17 08:20:46+05:30,CAR,1
FKN00GL27365,11,1,1,2023-11-10 08:34:46+05:30,2024-01-02 10:56:46+05:30,CAR,1
FKN00GL60534,11,1,2,2023-11-11 09:50:46+05:30,2024-01-04 07:41:46+05:30,SCOOTER,1
FKN00GL8564,11,1,1,2023-11-16 11:16:46+05:30,2024-01-25 10:55:46+05:30,SCOOTER,1
FKN00GL120338,10,5,2,2023-11-11 10:01:46+05:30,2024-01-16 10:27:46+05:30,MOTOR CYCLE,1
FKN00GL17806,10,5,1,2023-11-18 04:27:46+05:30,2024-01-12 10:00:46+05:30,SCOOTER,1
FKN00GL115574,10,3,1,2023-12-03 03:08:46+05:30,2024-01-06 02:05:46+05:30,CAR,1
FKN00GL18558,10,3,1,2023-12-02 11:30:46+05:30,2024-01-18 11:27:46+05:30,SCOOTER,1
FKN00GL76628,10,3,1,2023-11-23 04:18:46+05:30,2024-01-30 05:07:46+05:30,SCOOTER,1
FKN00GL16589,10,2,2,2023-12-07 08:54:46+05:30,2024-01-18 05:12:46+05:30,SCOOTER,1
FKN00GL1880,10,2,1,2023-11-14 06:31:46+05:30,2024-03-15 10:54:46+05:30,SCOOTER,1
FKN00GL23218,10,2,1,2023-12-07 07:49:46+05:30,2024-01-17 09:27:46+05:30,MOTOR CYCLE,1
FKN00GL32387,10,2,1,2023-11-12 08:34:46+05:30,2024-03-11 11:01:46+05:30,CAR,1
FKN00GL50547,10,2,1,2023-11-22 01:07:46+05:30,2024-03-12 08:49:46+05:30,VAN,1
FKN00GL5111,10,2,1,2023-11-10 04:20:46+05:30,2024-03-12 05:28:46+05:30,SCOOTER,1
FKN00GL54261,10,2,1,2023-12-09 06:08:46+05:30,2024-01-19 05:18:46+05:30,SCOOTER,1
FKN00GL76754,10,2,2,2023-11-15 03:34:46+05:30,2024-01-06 03:36:46+05:30,MOTOR CYCLE,1
FKN00GL100448,10,1,1,2023-11-22 07:49:46+05:30,2024-01-11 06:30:46+05:30,LGV,1
FKN00GL114057,10,1,2,2023-11-11 12:11:46+05:30,2023-12-07 08:29:46+05:30,CAR,1
FKN00GL11463,10,1,1,2023-12-16 06:30:46+05:30,2024-01-25 10:24:46+05:30,SCOOTER,1
