ccs_rank,st_dbscan_cluster_id,cluster_label_display,risk_band,recommended_action,ccs_score,delay_minutes_per_vehicle,lambda_hr_peak_window,severity_sum,growth_pct_change,criticality_factor,road_class,lane_count,geometry_source,physical_hotspot_key
1,2,BTP040 - Elite Junction (Cluster 2),Critical,Immediate patrol deployment,21.913129304124876,60.0,19.00754716981132,34509,-0.1246014030611549,1.3174810730666666,tertiary,2,osmnx,BTP040 - ELITE JUNCTION|12.97317|77.57755
2,3,BTP051 - Safina Plaza Junction (Cluster 3),Critical,Immediate patrol deployment,15.074615249616965,60.0,11.690566037735849,15028,-0.1437795953506538,1.2357460537772995,unclassified,2,osmnx,BTP051 - SAFINA PLAZA JUNCTION|12.98196|77.60773
3,13,POLICE_STATION::Chikkajala (Cluster 13),Critical,Immediate patrol deployment,14.734146786290262,60.0,0.9113207547169812,2079,0.5320284697452096,1.235756927421132,residential,2,osmnx,POLICE_STATION::CHIKKAJALA|13.18528|77.67998
4,17,"BTP016 - 5th Main Road, RPC Layout (Cluster 17)",Critical,Immediate patrol deployment,13.781759372525364,60.0,1.0471698113207548,2526,0.0548148148144899,1.3934797122126095,residential,2,osmnx,"BTP016 - 5TH MAIN ROAD, RPC LAYOUT|12.96659|77.53793"
5,37,BTP044 - Sagar Theatre Junction (Cluster 37),Critical,Immediate patrol deployment,13.74222975509834,60.0,0.6358490566037736,1232,4.455223880530519,1.1573347449527471,tertiary,2,osmnx,BTP044 - SAGAR THEATRE JUNCTION|12.97658|77.57756
6,35,BTP020 - Hosahalli Metro Station (Cluster 35),Critical,Immediate patrol deployment,13.56148824197948,60.0,1.1943396226415095,2485,0.0754716981126379,1.2357142856806123,road,2,fallback,BTP020 - HOSAHALLI METRO STATION|12.97446|77.54545
7,382,POLICE_STATION::Kodigehalli (Cluster 382),Critical,Immediate patrol deployment,12.621187548330385,57.63519046828709,0.6660377358490566,769,1.5431034482359545,1.396111347228788,secondary,2,osmnx,POLICE_STATION::KODIGEHALLI|13.07119|77.58817
8,20,BTP082 - KR Market Junction (Cluster 20),Critical,Immediate patrol deployment,11.993279787140331,49.4522913034633,0.2660377358490566,630,8.0,1.7888997701831628,residential,2,osmnx,BTP082 - KR MARKET JUNCTION|12.96511|77.576
9,131,BTP108 - Tagore Park Junction (Cluster 131),Critical,Immediate patrol deployment,11.042405905334345,60.0,0.4830188679245283,824,0.473053892207071,1.507697746281893,tertiary,2,osmnx,BTP108 - TAGORE PARK JUNCTION|12.94391|77.57133
10,56,BTP027 - Modi Bridge Junction (Cluster 56),Critical,Immediate patrol deployment,10.825430640228804,60.0,0.2716981132075471,502,8.0,1.4070762443860467,tertiary,2,osmnx,BTP027 - MODI BRIDGE JUNCTION|12.99943|77.55035
11,90,POLICE_STATION::R.T. Nagar (Cluster 90),Critical,Immediate patrol deployment,10.713605849918743,60.0,0.2283018867924528,658,3.5217391302816634,1.554795703268986,tertiary,2,osmnx,POLICE_STATION::R.T. NAGAR|13.02199|77.59268
12,74,BTP051 - Safina Plaza Junction (Cluster 74),Critical,Immediate patrol deployment,10.567216072361022,60.0,0.4641509433962264,595,2.4249999999393754,1.2358622525202159,unclassified,2,osmnx,BTP051 - SAFINA PLAZA JUNCTION|12.98184|77.60898
13,341,BTP032 - Windsor Circle (Cluster 341),Critical,Immediate patrol deployment,9.901490965174267,60.0,0.2075471698113207,1426,0.4829396325421291,1.3934788593777991,residential,2,osmnx,BTP032 - WINDSOR CIRCLE|12.99233|77.58887
14,29,POLICE_STATION::Hebbala (Cluster 29),Critical,Immediate patrol deployment,9.204480709086681,60.0,0.4358490566037736,700,0.4178571428496812,1.2560217749770544,tertiary,3,osmnx,POLICE_STATION::HEBBALA|13.03534|77.58903
15,227,POLICE_STATION::HAL Old Airport (Cluster 227),Critical,Immediate patrol deployment,9.113022020358885,60.0,0.3415094339622641,773,0.611702127653067,1.2359861267764258,tertiary,2,osmnx,POLICE_STATION::HAL OLD AIRPORT|12.96487|77.71777
16,240,POLICE_STATION::HAL Old Airport (Cluster 240),Critical,Immediate patrol deployment,9.074578183805704,40.88462951961741,0.469811320754717,822,0.5782608695501322,1.2423661839929963,tertiary,2,osmnx,POLICE_STATION::HAL OLD AIRPORT|12.95765|77.70153
17,342,"BTP070 - Cholurpalya Junction, Magadi Road (Cluster 342)",Critical,Immediate patrol deployment,8.69938894148877,60.0,0.2433962264150943,278,4.282608695465973,1.4738777290408374,residential,2,osmnx,"BTP070 - CHOLURPALYA JUNCTION, MAGADI ROAD|12.97361|77.55115"
18,290,POLICE_STATION::Kodigehalli (Cluster 290),Critical,Immediate patrol deployment,8.648186292524834,60.0,0.2245283018867924,256,8.0,1.396111347228788,secondary,2,osmnx,POLICE_STATION::KODIGEHALLI|13.07112|77.58795
19,123,BTP042 - Minsk Square Junction (CTO) (Cluster 123),Critical,Immediate patrol deployment,8.29725715747189,60.0,0.3320754716981132,509,0.3450704225303511,1.3928899769412209,residential,2,osmnx,BTP042 - MINSK SQUARE JUNCTION (CTO)|12.98137|77.59848
20,19,"BTP001 - 10th Cross, Dr. Rajkumar Road (Cluster 19)",Critical,Immediate patrol deployment,8.227407381451608,60.0,3.1641509433962263,4795,-0.3681806648045789,1.247153814722715,secondary,2,osmnx,"BTP001 - 10TH CROSS, DR. RAJKUMAR ROAD|13.01022|77.55368"
21,145,"BTP016 - 5th Main Road, RPC Layout (Cluster 145)",Critical,Immediate patrol deployment,7.9469184708722445,60.0,0.3490566037735849,582,0.0839160839149102,1.5546272683939333,tertiary,2,osmnx,"BTP016 - 5TH MAIN ROAD, RPC LAYOUT|12.9651|77.5382"
22,232,BTP032 - Windsor Circle (Cluster 232),Critical,Immediate patrol deployment,7.742290455719083,60.0,0.1094339622641509,407,4.888888888617284,1.3934788593777991,residential,2,osmnx,BTP032 - WINDSOR CIRCLE|12.99204|77.58889
23,32,BTP027 - Modi Bridge Junction (Cluster 32),Critical,Immediate patrol deployment,7.6401513898307085,60.0,2.8037735849056604,5271,-0.2193692917448548,1.157562878264528,tertiary,2,osmnx,BTP027 - MODI BRIDGE JUNCTION|12.99946|77.55
24,230,POLICE_STATION::Jeevanbheemanagar (Cluster 230),Critical,Immediate patrol deployment,7.426445024288436,60.0,0.360377358490566,673,0.0980861244005058,1.236002117429121,unclassified,2,osmnx,POLICE_STATION::JEEVANBHEEMANAGAR|12.97178|77.65809
