ccs_rank,st_dbscan_cluster_id,cluster_label,cluster_label_display,risk_band,ccs_score,ccs_raw_product,delay_minutes_per_vehicle,lambda_hr_peak_window,lambda_hr_peak_hour,mean_dwell_minutes,mu_departures_per_hour,blocking_vehicles_L,capacity_loss_pct,base_capacity_pcu_hr,effective_capacity_pcu_hr,junction_degree,betweenness_centrality,growth_pct_change,growth_multiplier,criticality_factor,road_class,lane_count,carriageway_width_m,link_length_m,dominant_vehicle_type,dominant_violation_tag,records_total,distinct_days,unique_vehicles,unique_vehicle_types,repeat_vehicle_count_2plus,chronic_vehicle_count_5plus,geometry_source,mappls_address,priority_message,physical_hotspot_key
1,2,BTP040 - Elite Junction,BTP040 - Elite Junction (Cluster 2),Critical,21.913129304124876,0.21913129304124876,60.0,19.00754716981132,32.08045977011494,101.33173076923076,0.592114627313035,32.101127486015336,0.9000000000000294,3400.0,340.0,5,0.0004823158368602,-0.1246014030611549,1.0,1.3174810730666666,tertiary,2,7.0,64.13710759442279,SCOOTER,['WRONG PARKING'],21733,87,18627,21,1844,154,osmnx,"AS Char Main Road, Kempegowda Maharaja Complex, Kempegowda Extension, Chickpete, Bengaluru, Karnataka. Pin-560009 (India)",BTP040 - Elite Junction (Cluster 2) | Critical | CCS=21.913,BTP040 - ELITE JUNCTION|12.97317|77.57755
2,3,BTP051 - Safina Plaza Junction,BTP051 - Safina Plaza Junction (Cluster 3),Critical,15.074615249616965,0.15074615249616966,60.0,11.690566037735849,20.666666666666668,90.65544041450777,0.6618466550379941,17.663556854270393,0.9000000000000303,3300.0,330.0,4,4.795159784625067e-06,-0.1437795953506538,1.0,1.2357460537772995,unclassified,2,7.0,177.03759097046907,SCOOTER,['WRONG PARKING'],9287,87,7622,19,842,109,osmnx,"Dispensary Road, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka. Pin-560001 (India)",BTP051 - Safina Plaza Junction (Cluster 3) | Critical | CCS=15.075,BTP051 - SAFINA PLAZA JUNCTION|12.98196|77.60773
3,13,POLICE_STATION::Chikkajala,POLICE_STATION::Chikkajala (Cluster 13),Critical,14.734146786290262,0.14734146786290261,60.0,0.9113207547169812,1.6923076923076923,62.31578947368421,0.962837837822387,0.946494537264536,0.2563355398871842,3000.0,2230.993380339191,4,6.436456086745057e-06,0.5320284697452096,1.5320284697452096,1.235756927421132,residential,2,7.0,32.21333224576199,CAR,['NO PARKING'],1423,78,1367,9,53,0,osmnx,,POLICE_STATION::Chikkajala (Cluster 13) | Critical | CCS=14.734,POLICE_STATION::CHIKKAJALA|13.18528|77.67998
4,17,"BTP016 - 5th Main Road, RPC Layout","BTP016 - 5th Main Road, RPC Layout (Cluster 17)",Critical,13.781759372525364,0.13781759372525365,60.0,1.0471698113207548,4.690476190476191,68.65517241379311,0.8739326971243876,1.198227064358805,0.2001775979106935,3000.0,2399.467206268719,6,9.397225886647784e-05,0.0548148148144899,1.05481481481449,1.3934797122126095,residential,2,7.0,186.76623368595065,SCOOTER,['WRONG PARKING'],1387,42,1272,14,93,2,osmnx,"3rd A Main Road, RPC Layout, Vijaya Nagar Stage 2, Bengaluru, Karnataka. Pin-560104 (India)","BTP016 - 5th Main Road, RPC Layout (Cluster 17) | Critical | CCS=13.782","BTP016 - 5TH MAIN ROAD, RPC LAYOUT|12.96659|77.53793"
5,37,BTP044 - Sagar Theatre Junction,BTP044 - Sagar Theatre Junction (Cluster 37),Critical,13.74222975509834,0.1374222975509834,60.0,0.6358490566037736,6.571428571428571,181.25,0.3310344827567943,1.9207940193654311,0.3984633206809302,3400.0,2045.2247096854387,3,2.896405239035276e-05,4.455223880530519,5.455223880530519,1.1573347449527471,tertiary,2,7.0,83.18813294372666,CAR,['WRONG PARKING'],798,14,766,16,30,0,osmnx,"5th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",BTP044 - Sagar Theatre Junction (Cluster 37) | Critical | CCS=13.742,BTP044 - SAGAR THEATRE JUNCTION|12.97658|77.57756
6,35,BTP020 - Hosahalli Metro Station,BTP020 - Hosahalli Metro Station (Cluster 35),Critical,13.56148824197948,0.1356148824197948,60.0,1.1943396226415095,2.898550724637681,159.46938775510205,0.3762477604276381,3.174343464821414,0.4114278931741061,3200.0,1883.430741843449,4,0.0,0.0754716981126379,1.075471698112638,1.2357142856806123,road,2,7.0,250.0,SCOOTER,['NO PARKING'],1650,69,1168,12,249,31,fallback,"Chord Road, Manuvana, Vijaya Nagar, Bengaluru, Karnataka. Pin-560040 (India)",BTP020 - Hosahalli Metro Station (Cluster 35) | Critical | CCS=13.561,BTP020 - HOSAHALLI METRO STATION|12.97446|77.54545
7,382,POLICE_STATION::Kodigehalli,POLICE_STATION::Kodigehalli (Cluster 382),Critical,12.621187548330385,0.12621187548330384,57.63519046828709,0.6660377358490566,4.125,56.8,1.0563380281504169,0.6305157226846525,0.0800119167873036,3600.0,3311.9570995666268,6,0.0004911981462599,1.5431034482359545,2.5431034482359545,1.396111347228788,secondary,2,9.0,312.5093325877144,SCOOTER,['WRONG PARKING'],411,24,386,8,21,0,osmnx,,POLICE_STATION::Kodigehalli (Cluster 382) | Critical | CCS=12.621,POLICE_STATION::KODIGEHALLI|13.07119|77.58817
8,20,BTP082 - KR Market Junction,BTP082 - KR Market Junction (Cluster 20),Critical,11.993279787140331,0.1199327978714033,49.4522913034633,0.2660377358490566,3.75,49.0,1.2244897958933778,0.2172641507703977,0.0443574058712841,3000.0,2866.9277823871034,6,0.0597797122854599,8.0,9.0,1.7888997701831628,residential,2,7.0,223.7564041556953,SCOOTER,['WRONG PARKING'],374,12,368,11,6,0,osmnx,,BTP082 - KR Market Junction (Cluster 20) | Critical | CCS=11.993,BTP082 - KR MARKET JUNCTION|12.96511|77.576
9,131,BTP108 - Tagore Park Junction,BTP108 - Tagore Park Junction (Cluster 131),Critical,11.042405905334345,0.11042405905334345,60.0,0.4830188679245283,1.6666666666666667,80.16666666666667,0.7484407484314123,0.6453668754560411,0.1089021679729145,3400.0,3029.7326288929817,6,0.0173343417100174,0.473053892207071,1.473053892207071,1.507697746281893,tertiary,2,7.0,147.22934632398545,SCOOTER,['WRONG PARKING'],495,42,472,9,19,0,osmnx,,BTP108 - Tagore Park Junction (Cluster 131) | Critical | CCS=11.042,BTP108 - TAGORE PARK JUNCTION|12.94391|77.57133
10,56,BTP027 - Modi Bridge Junction,BTP027 - Modi Bridge Junction (Cluster 56),Critical,10.825430640228804,0.10825430640228804,60.0,0.2716981132075471,8.555555555555555,94.4,0.635593220338983,0.4274716974406521,0.0755852920436701,3400.0,3143.010007052446,6,0.0021462684644055,8.0,9.0,1.4070762443860467,tertiary,2,7.0,215.80369731149315,SCOOTER,['WRONG PARKING'],265,9,255,7,10,0,osmnx,,BTP027 - Modi Bridge Junction (Cluster 56) | Critical | CCS=10.825,BTP027 - MODI BRIDGE JUNCTION|12.99943|77.55035
