feature,importance
num__unique_vehicles_week,0.28461897
num__rolling_4w_mean_records_week,0.17049323
num__records_week,0.07234201
num__severity_sum,0.05615531
num__growth_multiplier,0.05249699
num__growth_pct_change,0.039008826
num__records_total,0.031087782
num__rolling_4w_mean_pressure_raw,0.020163195
num__growth_surge_week,0.019449536
cat__dominant_vehicle_type_MOTOR CYCLE,0.018849531
num__rolling_4w_mean_severity_week,0.017268097
num__active_days_week,0.01593007
num__severity_sum_week,0.015598956
num__current_week_risk_raw,0.015104275
num__rolling_4w_std_pressure_raw,0.0142805595
num__weekly_growth_pct,0.009582399
num__rolling_4w_mean_growth_week,0.008210338
cat__road_class_road,0.0071362117
cat__road_class_trunk,0.0070505827
cat__road_class_unclassified,0.007019898
num__lag2_pressure_raw,0.0067731123
num__peak_window_records_week,0.006667276
num__junction_degree,0.006656325
cat__road_class_secondary,0.0063862647
num__unique_vehicle_types_week,0.0063679502
num__repeat_vehicle_ratio_week,0.0057128943
num__week_index,0.0054005054
num__peak_window_ratio_week,0.005284071
num__lane_count,0.005174279
num__criticality_factor,0.0050632963
num__link_length_m,0.0047812816
num__records_per_active_day_week,0.004774614
num__lag1_pressure_raw,0.0046626343
cat__dominant_vehicle_type_SCOOTER,0.0046420414
num__severity_mean_week,0.004633183
num__distinct_days,0.004463155
num__betweenness_centrality,0.004209108
cat__road_class_tertiary,0.003733688
num__severity_mean,0.0034905798
cat__dominant_vehicle_type_MAXI-CAB,0.0034137818
num__rolling_4w_pressure_acceleration,0.0033800604
num__carriageway_width_m,0.0032845433
num__hotspot_age_weeks,0.0030717326
num__rolling_4w_trend_slope_records_week,0.0023897674
cat__road_class_residential,0.0011676662
cat__road_class_primary,0.001152637
cat__dominant_vehicle_type_CAR,0.00065479166
cat__dominant_vehicle_type_PASSENGER AUTO,0.00029116284
cat__dominant_vehicle_type_LORRY/GOODS VEHICLE,0.0002488114
cat__geometry_source_fallback,0.00022199602
num__nearby_sensitive_poi_count,0.0
num__resurgence_score,0.0
cat__road_class_motorway,0.0
num__anomaly_score,0.0
num__persistence_score,0.0
cat__geometry_source_osmnx,0.0
num__validation_uncertainty,0.0
num__layer_b_priority_boost,0.0
num__vdi,0.0
cat__dominant_vehicle_type_FACTORY BUS,0.0
num__context_multiplier,0.0
cat__dominant_vehicle_type_OTHERS,0.0
num__layer_d_alert_flag,0.0
num__layer_b_alert_flag,0.0
num__network_vulnerability_score,0.0
num__influence_asymmetry,0.0
num__tvs,0.0
num__rop,0.0
num__road_node_distance_m,0.0
num__road_node_degree,0.0
num__road_node_betweenness,0.0
num__source_pressure_score,0.0
num__source_pressure_norm,0.0
num__spillover_out_score,0.0
num__spillover_in_score,0.0
num__spillover_total_score,0.0
num__propagation_radius_m,0.0
num__network_pagerank,0.0
num__network_component_id,0.0
num__network_component_size,0.0
num__neighbor_count,0.0
num__in_neighbor_count,0.0
num__out_neighbor_count,0.0
cat__dominant_vehicle_type_TEMPO,0.0
