zone_name,zone_hotspots,zone_priority_total,zone_priority_mean,zone_priority_max,zone_ccs_mean,zone_ccs_max,zone_escalation_mean,zone_tow_count,zone_patrol_units,zone_critical_count,zone_high_count,zone_top_label,zone_rank
BTP082 - KR Market Junction (Cluster 20),1,28.033448924472076,28.033448924472076,28.033448924472076,19.424060487333545,19.424060487333545,0.8562091588973999,0,1,0,0,BTP082 - KR Market Junction (Cluster 20),1
BTP063 - Siddalingaiah Circle (Cluster 16),1,27.96097294444261,27.96097294444261,27.96097294444261,18.194143044747918,18.194143044747918,0.9891905387242635,0,1,0,0,BTP063 - Siddalingaiah Circle (Cluster 16),2
BTP108 - Tagore Park Junction (Cluster 55),1,27.189330460264216,27.189330460264216,27.189330460264216,22.349791713929758,22.349791713929758,0.971916953722636,0,1,0,0,BTP108 - Tagore Park Junction (Cluster 55),3
POLICE_STATION::Kodigehalli (Cluster 290),1,26.8007574931382,26.8007574931382,26.8007574931382,77.41736589673712,77.41736589673712,0.0,0,1,0,1,POLICE_STATION::Kodigehalli (Cluster 290),4
"BTP016 - 5th Main Road, RPC Layout (Cluster 17)",1,26.604451766626468,26.604451766626468,26.604451766626468,17.85423242271047,17.85423242271047,0.995726486047109,0,1,0,0,"BTP016 - 5th Main Road, RPC Layout (Cluster 17)",5
"BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",1,25.909916215402546,25.909916215402546,25.909916215402546,23.289356021123847,23.289356021123847,0.8562091588973999,0,1,0,0,"BTP148 - 17th Main, Doopanahalli Bus Stop (Cluster 347)",6
"BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",1,25.72495108380807,25.72495108380807,25.72495108380807,20.406871765816817,20.406871765816817,0.8562091588973999,0,1,0,0,"BTP189 - New Diagonal Road, Jayanagar (Cluster 257)",7
POLICE_STATION::HSR Layout (Cluster 252),1,25.61053339379583,25.61053339379583,25.61053339379583,7.487624392700477,7.487624392700477,0.971916953722636,0,1,0,0,POLICE_STATION::HSR Layout (Cluster 252),8
POLICE_STATION::Sheshadripuram (Cluster 431),1,25.26539343029536,25.26539343029536,25.26539343029536,16.068764945147436,16.068764945147436,0.8389355738957723,0,1,0,0,POLICE_STATION::Sheshadripuram (Cluster 431),9
"BTP189 - New Diagonal Road, Jayanagar (Cluster 560)",1,25.105244597265347,25.105244597265347,25.105244597265347,11.047296309134977,11.047296309134977,0.9036461710929872,0,1,0,0,"BTP189 - New Diagonal Road, Jayanagar (Cluster 560)",10
"BTP189 - New Diagonal Road, Jayanagar (Cluster 658)",1,25.05079194380838,25.05079194380838,25.05079194380838,65.71647783289477,65.71647783289477,0.0,0,1,0,1,"BTP189 - New Diagonal Road, Jayanagar (Cluster 658)",11
POLICE_STATION::Bellandur (Cluster 574),1,25.045920798666344,25.045920798666344,25.045920798666344,16.582541573872536,16.582541573872536,0.8562091588973999,0,1,0,0,POLICE_STATION::Bellandur (Cluster 574),12
BTP027 - Modi Bridge Junction (Cluster 56),1,25.000672177324702,25.000672177324702,25.000672177324702,22.14087499253534,22.14087499253534,0.8601307272911072,0,1,0,0,BTP027 - Modi Bridge Junction (Cluster 56),13
BTP061 - Bhashyam Circle (Cluster 595),1,24.942391270159018,24.942391270159018,24.942391270159018,12.69738695045284,12.69738695045284,0.9612634579340616,0,1,0,0,BTP061 - Bhashyam Circle (Cluster 595),14
